X,Y,Z,borehole,formation
54.1,89.5,-49.88,BH1,Layer 1
67.3,52.9,-49.88,BH8,Layer 1
73.9,111.1,-49.88,BH2,Layer 1
96.1,49.9,-48.82,BH5,Layer 1
97.3,48.7,-49.88,BH9,Layer 1
72.1,75.7,-49.88,BH10,Layer 1
155.5,46.9,-49.88,BH3,Layer 1
141.7,60.7,-49.88,BH6,Layer 1
154.9,107.5,-49.88,BH7,Layer 1
51.7,49.3,-49.88,BH4,Layer 1
97.3,48.7,-101.32,BH9,Layer 2
96.1,49.9,-100.28,BH5,Layer 2
67.3,52.9,-100.28,BH8,Layer 2
141.7,60.7,-102.38,BH6,Layer 2
154.9,107.5,-99.22,BH7,Layer 2
155.5,46.9,-99.22,BH3,Layer 2
73.9,111.1,-99.22,BH2,Layer 2
72.1,75.7,-99.22,BH10,Layer 2
54.1,89.5,-101.32,BH1,Layer 2
51.7,49.3,-100.28,BH4,Layer 2
141.7,60.7,-145.43,BH6,Layer 3
154.9,107.5,-149.62,BH7,Layer 3
97.3,48.7,-149.62,BH9,Layer 3
96.1,49.9,-149.62,BH5,Layer 3
51.7,49.3,-151.72,BH4,Layer 3
155.5,46.9,-154.88,BH3,Layer 3
73.9,111.1,-149.62,BH2,Layer 3
54.1,89.5,-148.57,BH1,Layer 3
72.1,75.7,-151.72,BH10,Layer 3
67.3,52.9,-148.57,BH8,Layer 3
97.3,48.7,-198.98,BH9,Layer 4
96.1,49.9,-198.98,BH5,Layer 4
154.9,107.5,-198.98,BH7,Layer 4
141.7,60.7,-198.98,BH6,Layer 4
51.7,49.3,-198.98,BH4,Layer 4
155.5,46.9,-198.98,BH3,Layer 4
73.9,111.1,-198.98,BH2,Layer 4
54.1,89.5,-198.98,BH1,Layer 4
67.3,52.9,-198.98,BH8,Layer 4
72.1,75.7,-198.98,BH10,Layer 4
