X,Y,Z,layer,Well Name,feature1,feature2,feature3,feature4
128.5,45.7,-0.52,0,BH1,-7.82,9.48,4.7,-2.91
128.5,45.7,-1.58,0,BH1,-7.64,9.53,4.61,-2.96
128.5,45.7,-2.62,0,BH1,-7.73,9.55,4.69,-2.87
128.5,45.7,-3.68,0,BH1,-7.67,9.39,4.45,-2.93
128.5,45.7,-4.72,0,BH1,-7.65,9.54,4.66,-2.9
128.5,45.7,-5.78,0,BH1,-7.72,9.29,4.67,-2.85
128.5,45.7,-6.82,0,BH1,-7.69,9.37,4.58,-2.92
128.5,45.7,-7.88,0,BH1,-7.71,9.37,4.68,-2.96
128.5,45.7,-8.93,0,BH1,-7.78,9.56,4.51,-3.16
128.5,45.7,-9.98,0,BH1,-7.75,9.5,4.63,-2.99
128.5,45.7,-11.02,0,BH1,-7.66,9.48,4.6,-3.0
128.5,45.7,-12.08,0,BH1,-7.7,9.53,4.62,-2.94
128.5,45.7,-13.12,0,BH1,-7.78,9.38,4.49,-2.89
128.5,45.7,-14.18,0,BH1,-7.7,9.36,4.65,-2.98
128.5,45.7,-15.22,0,BH1,-7.69,9.38,4.62,-3.03
128.5,45.7,-16.27,0,BH1,-7.64,9.42,4.48,-2.93
128.5,45.7,-17.32,0,BH1,-7.82,9.53,4.55,-3.01
128.5,45.7,-18.38,0,BH1,-7.75,9.33,4.53,-2.8
128.5,45.7,-19.42,0,BH1,-7.63,9.64,4.65,-2.98
128.5,45.7,-20.48,0,BH1,-7.79,9.49,4.66,-3.08
128.5,45.7,-21.52,0,BH1,-7.81,9.68,4.39,-2.89
128.5,45.7,-22.58,0,BH1,-7.9,9.52,4.53,-3.08
128.5,45.7,-23.62,0,BH1,-7.77,9.51,4.7,-2.97
128.5,45.7,-24.68,0,BH1,-7.7,9.38,4.59,-3.06
128.5,45.7,-25.72,0,BH1,-7.68,9.39,4.53,-3.09
128.5,45.7,-26.78,0,BH1,-7.59,9.44,4.76,-3.04
128.5,45.7,-27.82,0,BH1,-7.81,9.41,4.53,-3.08
128.5,45.7,-28.88,0,BH1,-7.59,9.63,4.57,-2.92
128.5,45.7,-29.92,0,BH1,-7.76,9.77,4.56,-2.91
128.5,45.7,-30.98,0,BH1,-7.45,9.6,4.49,-2.84
128.5,45.7,-32.02,0,BH1,-7.76,9.31,4.72,-2.96
128.5,45.7,-33.08,0,BH1,-7.79,9.47,4.59,-3.07
128.5,45.7,-34.12,0,BH1,-7.75,9.51,4.53,-2.89
128.5,45.7,-35.17,0,BH1,-7.76,9.59,4.73,-2.82
128.5,45.7,-36.22,0,BH1,-7.71,9.66,4.52,-2.91
128.5,45.7,-37.28,0,BH1,-7.72,9.59,4.51,-3.01
128.5,45.7,-38.33,0,BH1,-7.92,9.52,4.51,-2.75
128.5,45.7,-39.38,0,BH1,-7.76,9.7,4.6,-3.13
128.5,45.7,-40.42,0,BH1,-7.76,9.56,4.67,-2.87
128.5,45.7,-41.48,0,BH1,-7.74,9.64,4.42,-2.91
128.5,45.7,-42.52,0,BH1,-7.53,9.56,4.45,-2.9
128.5,45.7,-43.58,0,BH1,-7.65,9.57,4.48,-3.07
128.5,45.7,-44.62,0,BH1,-7.57,9.7,4.39,-2.97
128.5,45.7,-45.68,0,BH1,-7.61,9.57,4.64,-3.0
128.5,45.7,-46.72,0,BH1,-7.68,9.54,4.73,-2.98
128.5,45.7,-47.78,0,BH1,-7.68,9.44,4.61,-2.83
128.5,45.7,-48.82,0,BH1,-7.58,9.52,4.58,-2.86
128.5,45.7,-49.88,0,BH1,-7.64,9.49,4.59,-2.99
128.5,45.7,-50.92,0,BH1,-7.63,9.49,4.56,-3.05
128.5,45.7,-51.98,0,BH1,-7.72,9.44,4.63,-2.98
128.5,45.7,-53.02,0,BH1,-7.6,9.64,4.54,-2.99
128.5,45.7,-54.08,0,BH1,-7.73,9.46,4.6,-2.9
128.5,45.7,-55.12,0,BH1,-7.81,9.41,4.51,-3.14
128.5,45.7,-56.18,0,BH1,-7.62,9.4,4.68,-2.83
128.5,45.7,-57.22,0,BH1,-7.71,9.55,4.62,-3.01
128.5,45.7,-58.28,0,BH1,-7.69,9.59,4.7,-3.08
128.5,45.7,-59.32,0,BH1,-7.64,9.54,4.55,-2.81
128.5,45.7,-60.38,0,BH1,-7.82,9.55,4.67,-2.98
128.5,45.7,-61.42,0,BH1,-7.82,9.37,4.64,-3.16
128.5,45.7,-62.48,0,BH1,-7.63,9.57,4.63,-2.79
128.5,45.7,-63.52,0,BH1,-7.77,9.44,4.62,-2.94
128.5,45.7,-64.58,0,BH1,-7.65,9.45,4.54,-3.15
128.5,45.7,-65.62,0,BH1,-7.78,9.42,4.56,-2.85
128.5,45.7,-66.68,0,BH1,-7.66,9.68,4.52,-3.09
128.5,45.7,-67.72,0,BH1,-7.9,9.36,4.64,-2.99
128.5,45.7,-68.78,0,BH1,-7.86,9.6,4.74,-2.89
128.5,45.7,-69.82,0,BH1,-7.84,9.6,4.58,-3.09
128.5,45.7,-70.88,0,BH1,-7.64,9.43,4.52,-3.01
128.5,45.7,-71.92,0,BH1,-7.59,9.41,4.69,-2.92
128.5,45.7,-72.97,0,BH1,-7.82,9.34,4.74,-2.88
128.5,45.7,-74.03,0,BH1,-7.71,9.4,4.46,-3.03
128.5,45.7,-75.08,0,BH1,-7.82,9.55,4.57,-2.97
128.5,45.7,-76.12,0,BH1,-7.89,9.4,4.65,-2.96
128.5,45.7,-77.18,0,BH1,-7.65,9.58,4.5,-2.99
128.5,45.7,-78.22,0,BH1,-7.71,9.61,4.39,-2.94
128.5,45.7,-79.28,0,BH1,-7.75,9.45,4.62,-2.98
128.5,45.7,-80.32,0,BH1,-7.72,9.44,4.55,-3.03
128.5,45.7,-81.38,0,BH1,-7.85,9.5,4.58,-3.02
128.5,45.7,-82.42,0,BH1,-7.75,9.57,4.59,-3.11
128.5,45.7,-83.48,0,BH1,-7.8,9.42,4.57,-2.95
128.5,45.7,-84.52,0,BH1,-7.68,9.59,4.52,-3.08
128.5,45.7,-85.58,0,BH1,-7.63,9.59,4.67,-2.93
128.5,45.7,-86.62,0,BH1,-7.71,9.41,4.64,-2.93
128.5,45.7,-87.68,1,BH1,4.04,6.07,2.97,-1.59
128.5,45.7,-88.72,1,BH1,4.04,5.89,3.03,-1.86
128.5,45.7,-89.78,1,BH1,4.16,6.01,2.88,-1.63
128.5,45.7,-90.82,1,BH1,4.09,5.98,2.98,-1.9
128.5,45.7,-91.88,1,BH1,4.16,6.07,2.98,-1.91
128.5,45.7,-92.92,1,BH1,4.16,6.03,2.87,-1.75
128.5,45.7,-93.98,1,BH1,4.16,6.06,2.91,-1.71
128.5,45.7,-95.02,1,BH1,4.15,5.89,2.89,-1.63
128.5,45.7,-96.08,1,BH1,4.27,6.0,2.83,-1.75
128.5,45.7,-97.12,1,BH1,4.26,5.89,2.84,-1.9
128.5,45.7,-98.18,1,BH1,4.16,6.07,2.86,-1.58
128.5,45.7,-99.22,1,BH1,4.13,6.0,2.74,-1.77
128.5,45.7,-100.28,1,BH1,4.41,6.04,3.05,-1.83
128.5,45.7,-101.32,1,BH1,4.18,5.95,2.88,-1.51
128.5,45.7,-102.38,1,BH1,4.18,6.14,2.74,-1.79
128.5,45.7,-103.42,1,BH1,4.23,5.96,3.0,-1.64
128.5,45.7,-104.48,1,BH1,4.35,6.03,3.02,-1.71
128.5,45.7,-105.52,1,BH1,3.97,5.89,2.92,-1.75
128.5,45.7,-106.58,1,BH1,4.15,5.83,2.97,-1.65
128.5,45.7,-107.62,1,BH1,4.24,6.05,2.98,-1.61
128.5,45.7,-108.68,1,BH1,4.26,5.86,2.93,-1.76
128.5,45.7,-109.72,1,BH1,3.95,6.05,2.95,-1.83
128.5,45.7,-110.78,1,BH1,4.24,5.77,2.96,-1.7
128.5,45.7,-111.82,1,BH1,4.15,5.84,2.87,-1.8
128.5,45.7,-112.88,1,BH1,4.2,5.8,2.99,-1.8
128.5,45.7,-113.92,1,BH1,4.17,5.83,2.73,-1.75
128.5,45.7,-114.98,1,BH1,4.07,5.94,2.98,-1.72
128.5,45.7,-116.02,1,BH1,4.32,6.02,2.94,-1.64
128.5,45.7,-117.08,1,BH1,4.11,5.96,2.84,-1.69
128.5,45.7,-118.12,1,BH1,4.1,5.96,2.91,-1.74
128.5,45.7,-119.18,1,BH1,4.22,5.91,2.82,-1.79
128.5,45.7,-120.22,1,BH1,4.15,6.08,2.83,-1.62
128.5,45.7,-121.28,1,BH1,4.11,6.03,2.94,-1.85
128.5,45.7,-122.32,1,BH1,4.13,6.04,2.86,-1.69
128.5,45.7,-123.38,1,BH1,4.18,5.96,2.97,-1.71
