X,Y,Z,layer,Well Name,feature1,feature2,feature3,feature4
70.3,60.1,-0.52,0,BH1,3.13,-0.06,7.46,-6.55
70.3,60.1,-1.58,0,BH1,3.06,0.08,7.55,-6.41
70.3,60.1,-2.62,0,BH1,3.1,0.03,7.49,-6.29
70.3,60.1,-3.68,0,BH1,2.9,0.11,7.63,-6.41
70.3,60.1,-4.72,0,BH1,2.96,0.02,7.54,-6.34
70.3,60.1,-5.78,0,BH1,2.86,0.05,7.4,-6.4
70.3,60.1,-6.82,0,BH1,3.09,0.07,7.56,-6.52
70.3,60.1,-7.88,0,BH1,2.98,0.06,7.53,-6.42
70.3,60.1,-8.93,0,BH1,3.01,0.03,7.57,-6.25
70.3,60.1,-9.98,0,BH1,3.03,0.1,7.61,-6.36
70.3,60.1,-11.02,0,BH1,2.93,0.25,7.59,-6.36
70.3,60.1,-12.08,0,BH1,2.95,0.08,7.52,-6.46
70.3,60.1,-13.12,0,BH1,2.88,-0.04,7.52,-6.11
70.3,60.1,-14.18,0,BH1,2.96,0.12,7.61,-6.36
70.3,60.1,-15.22,0,BH1,3.06,-0.04,7.56,-6.43
70.3,60.1,-16.27,0,BH1,2.99,0.08,7.78,-6.41
70.3,60.1,-17.32,0,BH1,3.15,0.02,7.58,-6.46
70.3,60.1,-18.38,0,BH1,3.02,0.02,7.56,-6.48
70.3,60.1,-19.42,0,BH1,3.06,0.1,7.7,-6.39
70.3,60.1,-20.48,0,BH1,3.01,0.02,7.46,-6.29
70.3,60.1,-21.52,0,BH1,2.99,0.31,7.76,-6.22
70.3,60.1,-22.58,0,BH1,2.9,0.13,7.53,-6.24
70.3,60.1,-23.62,0,BH1,3.11,0.16,7.51,-6.26
70.3,60.1,-24.68,0,BH1,3.02,0.1,7.61,-6.46
70.3,60.1,-25.72,0,BH1,3.0,0.16,7.63,-6.22
70.3,60.1,-26.78,0,BH1,3.1,0.11,7.46,-6.45
70.3,60.1,-27.82,0,BH1,3.11,0.2,7.55,-6.38
70.3,60.1,-28.88,0,BH1,3.06,0.17,7.65,-6.37
