X,Y,Z,layer,Well Name,feature1,feature2,feature3,feature4
112.9,120.1,-0.52,0,BH1,0.72,-5.37,6.5,-2.41
112.9,120.1,-1.58,0,BH1,-1.74,-11.19,4.35,-4.45
112.9,120.1,-2.62,0,BH1,0.19,-4.42,4.56,-1.47
112.9,120.1,-3.68,0,BH1,-2.91,-5.53,7.15,-1.74
112.9,120.1,-4.72,0,BH1,1.41,-8.46,3.57,-4.63
112.9,120.1,-5.78,0,BH1,-2.99,-2.38,8.12,-4.48
112.9,120.1,-6.82,0,BH1,-4.31,-5.84,9.86,-1.39
112.9,120.1,-7.88,0,BH1,2.49,-7.16,3.06,-5.91
112.9,120.1,-8.93,0,BH1,3.85,-9.19,6.48,-5.43
112.9,120.1,-9.98,0,BH1,4.15,-12.2,5.85,-1.59
112.9,120.1,-11.02,0,BH1,-0.22,-9.15,9.65,-4.78
112.9,120.1,-12.08,0,BH1,-1.47,-3.91,6.05,-4.76
112.9,120.1,-13.12,0,BH1,-5.71,-3.6,3.82,-10.29
112.9,120.1,-14.18,0,BH1,1.83,-9.19,7.15,-4.31
112.9,120.1,-15.22,0,BH1,-3.95,-8.07,0.62,4.89
112.9,120.1,-16.27,0,BH1,-0.65,-5.02,6.31,-8.35
112.9,120.1,-17.32,0,BH1,-4.39,-4.1,11.63,-5.04
112.9,120.1,-18.38,0,BH1,-5.26,-8.29,10.62,-5.31
112.9,120.1,-19.42,0,BH1,-1.55,-11.31,6.47,-6.22
112.9,120.1,-20.48,0,BH1,-4.04,-4.04,1.22,-2.89
112.9,120.1,-21.52,0,BH1,-3.33,-7.9,3.27,0.2
112.9,120.1,-22.58,0,BH1,-3.47,-8.06,5.5,-7.89
112.9,120.1,-23.62,0,BH1,-0.13,-8.63,5.29,-9.03
112.9,120.1,-24.68,0,BH1,-6.24,-4.7,9.3,-6.75
112.9,120.1,-25.72,0,BH1,1.19,-10.03,6.69,-0.68
112.9,120.1,-26.78,0,BH1,-0.59,-7.38,3.86,-8.21
112.9,120.1,-27.82,0,BH1,0.31,-7.64,7.14,-5.96
