X,Y,Z,layer,Well Name,feature1,feature2,feature3,feature4
86.5,63.1,-0.52,0,BH1,-8.46,9.2,-3.45,6.39
86.5,63.1,-1.58,0,BH1,-15.19,7.41,-2.94,5.36
86.5,63.1,-2.62,0,BH1,-8.26,16.66,-4.42,11.0
86.5,63.1,-3.68,0,BH1,-11.22,-12.03,-4.81,18.58
86.5,63.1,-4.72,0,BH1,-10.29,2.81,2.32,4.59
86.5,63.1,-5.78,0,BH1,-7.47,14.79,-4.33,7.06
86.5,63.1,-6.82,0,BH1,-9.17,11.18,0.01,-2.52
86.5,63.1,-7.88,0,BH1,-11.42,2.69,-0.24,6.36
86.5,63.1,-8.93,0,BH1,-0.75,3.16,-9.9,0.61
86.5,63.1,-9.98,0,BH1,-9.98,1.07,-2.78,-3.98
86.5,63.1,-11.02,0,BH1,-5.03,3.85,-1.25,6.77
86.5,63.1,-12.08,0,BH1,-8.59,12.77,-4.46,5.47
86.5,63.1,-13.12,0,BH1,-4.2,11.92,4.96,5.41
86.5,63.1,-14.18,0,BH1,0.31,9.76,-10.98,6.42
86.5,63.1,-15.22,0,BH1,-7.66,-2.62,7.34,2.36
86.5,63.1,-16.27,0,BH1,-12.18,5.29,11.2,9.25
86.5,63.1,-17.32,0,BH1,0.37,5.31,-6.29,-2.63
86.5,63.1,-18.38,0,BH1,-15.76,7.14,5.94,6.2
86.5,63.1,-19.42,0,BH1,-7.92,18.21,1.39,3.57
86.5,63.1,-20.48,0,BH1,-11.6,4.82,-3.01,5.32
86.5,63.1,-21.52,0,BH1,-6.16,9.84,7.9,0.42
86.5,63.1,-22.58,0,BH1,-10.23,-1.67,-9.8,12.59
86.5,63.1,-23.62,0,BH1,-7.07,13.28,1.41,5.81
86.5,63.1,-24.68,0,BH1,-15.25,3.34,0.64,-7.2
86.5,63.1,-25.72,0,BH1,-9.17,2.74,4.12,5.0
86.5,63.1,-26.78,0,BH1,1.18,14.92,0.09,3.18
86.5,63.1,-27.82,0,BH1,-11.74,0.18,-8.89,6.88
86.5,63.1,-28.88,0,BH1,-12.15,1.11,1.12,-1.2
86.5,63.1,-29.92,0,BH1,-15.92,0.41,2.76,10.39
86.5,63.1,-30.98,0,BH1,-20.8,8.26,2.62,11.41
86.5,63.1,-32.02,0,BH1,5.43,6.06,0.41,7.51
86.5,63.1,-33.08,0,BH1,-10.35,-1.65,-6.99,5.11
86.5,63.1,-34.12,0,BH1,-9.48,-2.18,12.58,7.08
86.5,63.1,-35.17,0,BH1,-8.83,13.44,-0.56,1.62
86.5,63.1,-36.22,0,BH1,-12.42,10.62,-1.83,7.35
86.5,63.1,-37.28,0,BH1,-6.03,6.67,-2.17,6.37
86.5,63.1,-38.33,0,BH1,-3.64,-3.26,3.74,3.27
86.5,63.1,-39.38,0,BH1,-9.65,1.94,3.19,9.72
86.5,63.1,-40.42,0,BH1,-16.65,6.02,3.45,-1.1
86.5,63.1,-41.48,0,BH1,-0.57,5.26,-9.02,1.39
86.5,63.1,-42.52,0,BH1,5.72,6.8,4.27,-0.25
86.5,63.1,-43.58,0,BH1,-14.94,0.18,-2.57,13.78
86.5,63.1,-44.62,0,BH1,-12.04,0.38,-8.04,4.22
86.5,63.1,-45.68,0,BH1,-6.7,1.1,-4.44,11.06
86.5,63.1,-46.72,0,BH1,-6.37,17.96,0.25,1.58
