X,Y,Z,layer,Well Name,feature1,feature2,feature3,feature4
159.7,42.1,-0.52,3,BH1,-9.1,-1.77,2.23,-4.7
159.7,42.1,-1.58,3,BH1,-8.84,-1.79,2.31,-4.97
159.7,42.1,-2.62,3,BH1,-8.8,-1.82,2.13,-4.89
159.7,42.1,-3.68,3,BH1,-8.86,-1.93,2.28,-4.94
159.7,42.1,-4.72,3,BH1,-8.78,-1.9,2.22,-4.68
159.7,42.1,-5.78,3,BH1,-8.91,-1.83,2.07,-4.89
159.7,42.1,-6.82,3,BH1,-8.9,-1.85,2.29,-4.7
159.7,42.1,-7.88,3,BH1,-8.92,-1.78,2.29,-4.95
159.7,42.1,-8.93,3,BH1,-8.83,-1.9,2.24,-4.85
159.7,42.1,-9.98,3,BH1,-8.78,-1.82,2.22,-4.77
159.7,42.1,-11.02,3,BH1,-8.7,-1.82,2.13,-4.89
159.7,42.1,-12.08,3,BH1,-8.95,-1.67,2.02,-4.93
159.7,42.1,-13.12,3,BH1,-8.93,-1.69,2.1,-5.17
159.7,42.1,-14.18,3,BH1,-8.71,-1.76,2.11,-4.81
159.7,42.1,-15.22,3,BH1,-8.83,-1.81,2.48,-4.92
159.7,42.1,-16.27,3,BH1,-8.83,-1.72,2.21,-4.75
159.7,42.1,-17.32,3,BH1,-8.94,-1.69,2.13,-5.0
159.7,42.1,-18.38,3,BH1,-8.78,-1.88,2.29,-4.75
159.7,42.1,-19.42,3,BH1,-9.01,-1.75,2.14,-4.9
159.7,42.1,-20.48,3,BH1,-8.71,-1.88,2.39,-5.02
159.7,42.1,-21.52,3,BH1,-8.89,-1.72,2.12,-4.95
159.7,42.1,-22.58,3,BH1,-8.78,-1.91,2.04,-4.79
159.7,42.1,-23.62,3,BH1,-8.7,-1.76,2.3,-5.0
159.7,42.1,-24.68,3,BH1,-8.97,-1.77,2.23,-4.85
159.7,42.1,-25.72,3,BH1,-8.8,-1.84,2.18,-4.87
159.7,42.1,-26.78,3,BH1,-8.77,-1.54,2.34,-4.83
159.7,42.1,-27.82,3,BH1,-8.75,-1.93,2.07,-4.79
159.7,42.1,-28.88,3,BH1,-8.81,-1.77,2.4,-4.87
159.7,42.1,-29.92,3,BH1,-8.88,-1.93,2.24,-4.75
159.7,42.1,-30.98,3,BH1,-8.82,-1.66,2.36,-4.83
159.7,42.1,-32.02,3,BH1,-8.68,-1.81,2.35,-4.88
159.7,42.1,-33.08,3,BH1,-8.85,-1.8,2.26,-4.83
159.7,42.1,-34.12,3,BH1,-8.79,-1.86,2.23,-4.9
159.7,42.1,-35.17,3,BH1,-8.73,-1.92,2.15,-4.98
159.7,42.1,-36.22,3,BH1,-8.98,-1.78,2.12,-4.79
159.7,42.1,-37.28,3,BH1,-8.78,-1.85,2.17,-4.96
159.7,42.1,-38.33,3,BH1,-8.66,-1.82,2.18,-5.06
159.7,42.1,-39.38,3,BH1,-8.84,-1.71,2.1,-4.89
159.7,42.1,-40.42,3,BH1,-8.91,-1.89,2.09,-5.08
