X,Y,Z,layer,Well Name,feature1,feature2,feature3,feature4
136.3,67.9,-0.52,3,BH1,4.3,-6.06,4.82,-0.82
136.3,67.9,-1.58,3,BH1,8.31,-9.09,5.53,0.61
136.3,67.9,-2.62,3,BH1,6.99,2.01,1.33,8.77
136.3,67.9,-3.68,3,BH1,1.62,-3.41,0.31,6.48
136.3,67.9,-4.72,3,BH1,10.13,-7.13,5.16,4.97
136.3,67.9,-5.78,3,BH1,2.62,0.34,9.45,1.01
136.3,67.9,-6.82,3,BH1,0.9,0.17,4.15,2.26
136.3,67.9,-7.88,3,BH1,3.91,-6.84,6.31,1.49
136.3,67.9,-8.93,3,BH1,0.32,-2.42,2.33,1.54
136.3,67.9,-9.98,3,BH1,1.41,-7.66,3.13,0.06
136.3,67.9,-11.02,3,BH1,5.35,-1.28,2.58,6.45
136.3,67.9,-12.08,3,BH1,6.74,-7.29,-0.45,7.9
136.3,67.9,-13.12,3,BH1,4.57,-4.02,5.96,1.35
136.3,67.9,-14.18,3,BH1,-0.02,-3.92,3.84,-1.22
136.3,67.9,-15.22,3,BH1,6.89,0.36,9.29,-2.14
136.3,67.9,-16.27,3,BH1,-1.72,1.36,5.73,-0.39
136.3,67.9,-17.32,3,BH1,6.13,-10.77,4.0,-0.12
136.3,67.9,-18.38,3,BH1,4.15,-6.73,7.41,3.29
136.3,67.9,-19.42,3,BH1,2.01,-0.58,1.58,-2.01
136.3,67.9,-20.48,3,BH1,0.44,-1.33,5.35,0.31
136.3,67.9,-21.52,3,BH1,4.46,-10.51,1.53,5.56
136.3,67.9,-22.58,3,BH1,4.46,-10.26,0.81,7.81
136.3,67.9,-23.62,3,BH1,4.01,-2.12,6.26,4.43
136.3,67.9,-24.68,3,BH1,-3.49,-2.23,7.8,1.55
136.3,67.9,-25.72,3,BH1,5.12,-2.91,2.86,0.03
136.3,67.9,-26.78,3,BH1,-0.19,-3.75,3.25,3.31
136.3,67.9,-27.82,3,BH1,8.76,-6.39,1.09,-0.31
136.3,67.9,-28.88,3,BH1,-0.91,0.02,1.31,2.13
136.3,67.9,-29.92,3,BH1,7.62,-5.65,3.11,2.14
136.3,67.9,-30.98,3,BH1,5.8,-2.84,0.86,0.87
136.3,67.9,-32.02,3,BH1,0.75,-8.78,0.8,4.54
136.3,67.9,-33.08,3,BH1,0.46,-1.4,4.84,1.12
136.3,67.9,-34.12,3,BH1,3.11,-5.32,3.98,-2.49
136.3,67.9,-35.17,3,BH1,-1.5,-1.44,5.62,-0.95
136.3,67.9,-36.22,3,BH1,1.92,-2.05,2.53,0.9
136.3,67.9,-37.28,3,BH1,-0.76,-5.76,-1.22,2.49
136.3,67.9,-38.33,3,BH1,-1.25,-4.28,12.36,-0.21
136.3,67.9,-39.38,3,BH1,4.89,-5.28,4.56,-2.08
136.3,67.9,-40.42,3,BH1,8.01,-3.45,6.7,2.18
136.3,67.9,-41.48,3,BH1,-2.25,-0.23,2.62,1.28
136.3,67.9,-42.52,3,BH1,7.26,-3.27,1.55,-2.84
136.3,67.9,-43.58,3,BH1,-0.25,-5.05,1.98,-2.06
136.3,67.9,-44.62,3,BH1,1.14,-3.74,2.59,4.55
136.3,67.9,-45.68,3,BH1,10.23,-5.17,6.86,0.09
136.3,67.9,-46.72,3,BH1,1.85,-6.1,2.92,3.67
136.3,67.9,-47.78,3,BH1,4.65,-7.84,0.33,-0.59
136.3,67.9,-48.82,3,BH1,3.04,-7.32,6.99,2.23
136.3,67.9,-49.88,3,BH1,-0.78,-9.65,8.1,1.39
136.3,67.9,-50.92,0,BH1,-3.47,4.34,-11.0,1.71
136.3,67.9,-51.98,0,BH1,1.82,0.23,-5.91,4.23
136.3,67.9,-53.02,0,BH1,1.24,2.28,-3.33,0.08
136.3,67.9,-54.08,0,BH1,-0.24,4.88,-7.0,-0.74
136.3,67.9,-55.12,0,BH1,-1.23,8.26,-6.58,0.48
136.3,67.9,-56.18,0,BH1,-0.17,-0.71,-1.05,-1.79
136.3,67.9,-57.22,0,BH1,3.89,7.56,-5.29,0.2
136.3,67.9,-58.28,0,BH1,-0.09,4.22,-6.94,2.68
136.3,67.9,-59.32,0,BH1,1.55,2.71,-2.93,2.2
136.3,67.9,-60.38,0,BH1,-1.44,4.57,-1.21,4.23
136.3,67.9,-61.42,0,BH1,4.12,4.3,-1.97,1.49
136.3,67.9,-62.48,0,BH1,7.09,8.12,-7.96,-5.8
136.3,67.9,-63.52,0,BH1,2.26,-0.27,-3.04,4.16
136.3,67.9,-64.58,0,BH1,5.39,2.75,-5.73,4.96
136.3,67.9,-65.62,0,BH1,-2.37,-0.77,-3.02,-3.85
136.3,67.9,-66.68,0,BH1,-1.44,5.65,-0.31,2.51
136.3,67.9,-67.72,0,BH1,-2.55,0.19,-8.53,1.33
136.3,67.9,-68.78,0,BH1,2.63,6.48,-5.91,-0.95
136.3,67.9,-69.82,0,BH1,4.16,2.24,1.92,4.75
136.3,67.9,-70.88,0,BH1,1.4,10.74,-2.94,-2.8
136.3,67.9,-71.92,0,BH1,-0.75,9.9,-5.56,6.19
136.3,67.9,-72.97,0,BH1,1.8,4.13,-4.88,-0.13
136.3,67.9,-74.03,0,BH1,0.12,10.64,-1.56,-3.66
136.3,67.9,-75.08,0,BH1,3.38,3.11,0.73,-1.48
136.3,67.9,-76.12,0,BH1,2.52,-1.23,-2.19,5.55
136.3,67.9,-77.18,0,BH1,4.96,3.78,-2.52,-0.2
136.3,67.9,-78.22,0,BH1,1.87,2.97,-2.87,2.88
136.3,67.9,-79.28,0,BH1,-1.88,7.85,-5.62,-1.16
136.3,67.9,-80.32,0,BH1,1.96,4.53,-9.46,0.16
136.3,67.9,-81.38,0,BH1,-0.57,3.13,-4.3,-1.46
136.3,67.9,-82.42,0,BH1,-4.62,-1.53,-7.49,0.24
136.3,67.9,-83.48,0,BH1,-0.7,-1.92,-4.88,-1.18
136.3,67.9,-84.52,0,BH1,-2.68,2.73,-1.0,-6.26
136.3,67.9,-85.58,0,BH1,2.64,2.87,-5.82,-0.01
136.3,67.9,-86.62,0,BH1,4.6,0.94,1.12,-0.83
136.3,67.9,-87.68,0,BH1,-2.4,0.2,-7.18,0.98
136.3,67.9,-88.72,0,BH1,-0.77,2.0,-9.54,-1.9
136.3,67.9,-89.78,0,BH1,3.2,5.4,0.05,3.66
136.3,67.9,-90.82,0,BH1,1.03,6.74,-5.52,2.48
136.3,67.9,-91.88,0,BH1,1.42,0.3,-4.78,7.59
136.3,67.9,-92.92,0,BH1,1.74,2.1,-5.11,2.49
136.3,67.9,-93.98,0,BH1,2.09,2.44,-3.82,-4.4
136.3,67.9,-95.02,0,BH1,4.88,5.75,-6.42,-0.65
136.3,67.9,-96.08,0,BH1,2.86,1.65,-3.75,3.72
136.3,67.9,-97.12,0,BH1,-3.06,3.96,-6.95,2.86
136.3,67.9,-98.18,0,BH1,0.93,-0.26,1.88,1.2
136.3,67.9,-99.22,0,BH1,-6.45,6.42,-7.16,-1.88
136.3,67.9,-100.28,2,BH1,-14.54,-3.11,-10.22,-0.05
136.3,67.9,-101.32,2,BH1,-7.72,-4.43,-5.27,-6.31
136.3,67.9,-102.38,2,BH1,-10.79,0.11,-9.67,-2.54
136.3,67.9,-103.42,2,BH1,-7.11,0.93,-10.74,-1.68
136.3,67.9,-104.48,2,BH1,-3.44,-1.24,-7.17,-6.17
136.3,67.9,-105.52,2,BH1,-12.37,0.05,-6.54,-0.26
136.3,67.9,-106.58,2,BH1,-8.26,1.65,-11.14,0.05
136.3,67.9,-107.62,2,BH1,-6.68,-1.93,-9.83,-4.27
136.3,67.9,-108.68,2,BH1,-13.59,-1.62,-7.18,-5.4
136.3,67.9,-109.72,2,BH1,-10.2,5.13,-8.99,0.89
136.3,67.9,-110.78,2,BH1,-15.17,-6.1,-5.52,2.1
136.3,67.9,-111.82,2,BH1,-8.28,-4.41,-12.89,-4.17
136.3,67.9,-112.88,2,BH1,-3.01,-1.69,-7.23,-6.56
136.3,67.9,-113.92,2,BH1,-12.2,-4.21,-11.88,2.36
136.3,67.9,-114.98,2,BH1,-11.38,-2.55,-4.21,-4.85
136.3,67.9,-116.02,2,BH1,-6.47,-3.9,-9.11,4.29
136.3,67.9,-117.08,2,BH1,-11.63,2.3,-4.06,1.95
136.3,67.9,-118.12,2,BH1,-9.87,-5.08,-10.75,1.57
136.3,67.9,-119.18,2,BH1,-9.48,-0.76,-11.3,0.3
136.3,67.9,-120.22,2,BH1,-11.94,-1.64,-10.86,-0.39
136.3,67.9,-121.28,2,BH1,-11.25,-0.8,-7.29,-1.46
136.3,67.9,-122.32,2,BH1,-8.4,-1.66,-5.4,0.81
136.3,67.9,-123.38,2,BH1,-10.04,-0.29,-11.93,-2.9
136.3,67.9,-124.42,2,BH1,-12.71,-2.69,-9.89,-4.96
136.3,67.9,-125.48,2,BH1,-8.32,0.78,-7.17,-0.6
136.3,67.9,-126.52,2,BH1,-9.51,1.1,-10.63,4.26
136.3,67.9,-127.58,2,BH1,-8.75,-1.51,-9.01,-0.55
136.3,67.9,-128.62,2,BH1,-5.88,-5.07,-2.5,1.84
136.3,67.9,-129.68,2,BH1,-5.73,-3.56,-15.65,3.62
136.3,67.9,-130.72,2,BH1,-11.97,-1.91,-9.81,0.59
136.3,67.9,-131.78,2,BH1,-6.95,-3.14,-7.94,-1.26
136.3,67.9,-132.82,2,BH1,-13.84,1.01,-11.15,-3.18
136.3,67.9,-133.88,2,BH1,-8.76,-1.84,-9.02,1.14
136.3,67.9,-134.93,2,BH1,-11.09,2.93,-11.22,4.32
136.3,67.9,-135.98,2,BH1,-6.1,-0.18,-9.6,-5.94
136.3,67.9,-137.02,2,BH1,-5.2,-5.46,-7.37,2.01
136.3,67.9,-138.07,2,BH1,-7.18,3.78,-8.9,-7.0
136.3,67.9,-139.12,2,BH1,-10.04,1.35,-13.15,3.78
136.3,67.9,-140.18,2,BH1,-13.1,-0.19,-6.8,0.86
136.3,67.9,-141.22,2,BH1,-7.14,4.93,-10.84,-2.33
136.3,67.9,-142.28,2,BH1,-11.95,1.74,-9.49,-6.0
136.3,67.9,-143.32,2,BH1,-5.76,-3.17,-6.39,-0.59
136.3,67.9,-144.38,2,BH1,-10.54,-2.41,-10.88,-5.24
136.3,67.9,-145.43,2,BH1,-13.49,-3.47,-8.86,0.08
136.3,67.9,-146.48,2,BH1,-7.81,-0.65,-12.36,2.01
136.3,67.9,-147.52,2,BH1,-5.69,-6.04,-11.38,2.95
136.3,67.9,-148.57,2,BH1,-5.83,1.43,-5.19,-6.43
136.3,67.9,-149.62,2,BH1,-9.91,-4.64,-9.93,1.55
136.3,67.9,-150.68,1,BH1,8.16,8.89,-7.12,-9.34
136.3,67.9,-151.72,1,BH1,6.19,8.04,-6.94,-3.23
136.3,67.9,-152.78,1,BH1,7.38,7.46,-8.1,-5.01
136.3,67.9,-153.82,1,BH1,4.44,8.31,-4.21,-8.26
136.3,67.9,-154.88,1,BH1,8.63,4.48,-9.95,-11.77
136.3,67.9,-155.93,1,BH1,5.07,8.16,-7.24,-7.95
136.3,67.9,-156.98,1,BH1,12.41,11.74,-4.04,-11.42
136.3,67.9,-158.02,1,BH1,9.52,11.26,-10.2,-6.98
136.3,67.9,-159.07,1,BH1,9.35,9.39,-5.16,-7.35
136.3,67.9,-160.12,1,BH1,7.57,8.16,-9.11,-10.44
136.3,67.9,-161.18,1,BH1,5.53,9.06,-9.68,-8.68
136.3,67.9,-162.22,1,BH1,5.13,6.75,-5.71,-2.49
136.3,67.9,-163.28,1,BH1,10.09,6.32,-1.45,-5.98
136.3,67.9,-164.32,1,BH1,7.3,10.64,-8.52,-12.73
136.3,67.9,-165.38,1,BH1,10.18,10.9,-8.34,-2.51
136.3,67.9,-166.42,1,BH1,7.92,4.43,-7.15,-6.95
136.3,67.9,-167.48,1,BH1,9.33,6.88,-4.51,-1.98
136.3,67.9,-168.52,1,BH1,3.21,1.65,-8.19,-7.3
