X,Y,Z,layer,Well Name,feature1,feature2,feature3,feature4
54.1,89.5,-0.52,3,BH1,-5.82,-9.55,6.32,-5.68
54.1,89.5,-1.58,3,BH1,-3.21,-10.91,13.82,-10.26
54.1,89.5,-2.62,3,BH1,-0.1,-1.1,10.22,-15.98
54.1,89.5,-3.68,3,BH1,-5.5,-10.1,4.06,-15.18
54.1,89.5,-4.72,3,BH1,-0.55,-13.93,2.73,5.47
54.1,89.5,-5.78,3,BH1,2.94,-13.31,7.76,-7.41
54.1,89.5,-6.82,3,BH1,-11.2,-3.01,14.46,-7.16
54.1,89.5,-7.88,3,BH1,-7.73,1.12,12.03,-6.25
54.1,89.5,-8.93,3,BH1,-3.08,-7.19,7.18,0.61
54.1,89.5,-9.98,3,BH1,-5.97,-0.46,7.04,2.74
54.1,89.5,-11.02,3,BH1,-13.32,-13.67,15.48,1.74
54.1,89.5,-12.08,3,BH1,-10.12,-2.33,10.55,-12.58
54.1,89.5,-13.12,3,BH1,-1.74,-4.58,4.01,-11.17
54.1,89.5,-14.18,3,BH1,-3.73,-3.44,14.82,-11.84
54.1,89.5,-15.22,3,BH1,-5.12,-8.07,7.43,0.36
54.1,89.5,-16.27,3,BH1,-4.51,-16.41,8.27,-5.41
54.1,89.5,-17.32,3,BH1,2.05,-11.29,8.33,-6.42
54.1,89.5,-18.38,3,BH1,-11.8,-11.12,-4.82,-5.61
54.1,89.5,-19.42,3,BH1,-10.99,-10.08,10.55,-7.76
54.1,89.5,-20.48,3,BH1,-3.77,-18.98,6.52,-0.38
54.1,89.5,-21.52,3,BH1,-15.77,-17.77,7.22,-10.77
54.1,89.5,-22.58,3,BH1,-1.53,-7.22,13.03,-1.68
54.1,89.5,-23.62,3,BH1,-20.7,-12.35,8.7,-4.67
54.1,89.5,-24.68,3,BH1,-8.48,-0.4,4.29,-14.02
54.1,89.5,-25.72,3,BH1,2.68,-6.84,4.39,1.83
54.1,89.5,-26.78,3,BH1,-13.1,-10.3,1.96,-6.1
54.1,89.5,-27.82,3,BH1,6.4,-3.92,-4.91,1.33
54.1,89.5,-28.88,3,BH1,-7.2,-8.31,10.54,2.16
54.1,89.5,-29.92,3,BH1,-7.69,-19.97,11.9,3.01
54.1,89.5,-30.98,3,BH1,-11.07,-8.93,5.96,-10.59
54.1,89.5,-32.02,3,BH1,-0.17,-11.74,7.8,-5.81
54.1,89.5,-33.08,3,BH1,0.86,-12.34,15.86,0.59
54.1,89.5,-34.12,3,BH1,-4.37,-10.2,6.28,-7.91
54.1,89.5,-35.17,3,BH1,-1.25,-12.25,1.45,-18.32
54.1,89.5,-36.22,3,BH1,-5.68,-7.39,14.78,-3.04
54.1,89.5,-37.28,3,BH1,3.65,-6.95,-3.21,-4.51
54.1,89.5,-38.33,3,BH1,-0.04,-10.08,0.0,-4.36
54.1,89.5,-39.38,3,BH1,-5.48,5.85,5.64,-8.18
54.1,89.5,-40.42,3,BH1,-8.19,-8.01,0.37,-0.97
54.1,89.5,-41.48,3,BH1,-2.64,-5.75,-5.92,-3.07
54.1,89.5,-42.52,3,BH1,-12.69,-5.16,14.23,-9.2
54.1,89.5,-43.58,3,BH1,-12.08,-9.83,9.5,-5.48
54.1,89.5,-44.62,3,BH1,-4.2,-14.24,22.08,-5.09
54.1,89.5,-45.68,3,BH1,-4.19,-7.94,-2.69,-3.9
54.1,89.5,-46.72,3,BH1,-8.3,-19.39,3.6,-8.97
54.1,89.5,-47.78,3,BH1,-13.93,-10.5,-1.99,-5.45
54.1,89.5,-48.82,3,BH1,-6.63,-8.59,7.5,-1.59
54.1,89.5,-49.88,3,BH1,3.09,-9.45,4.1,-3.02
54.1,89.5,-50.92,0,BH1,-6.33,0.14,-12.14,-14.11
54.1,89.5,-51.98,0,BH1,-3.25,4.03,-2.99,-5.39
54.1,89.5,-53.02,0,BH1,-8.42,9.66,-2.87,-4.58
54.1,89.5,-54.08,0,BH1,-12.65,7.17,-9.57,0.13
54.1,89.5,-55.12,0,BH1,-10.23,-1.7,-15.79,4.37
54.1,89.5,-56.18,0,BH1,-8.46,3.21,-9.46,3.94
54.1,89.5,-57.22,0,BH1,-21.76,-4.39,-4.53,-0.03
54.1,89.5,-58.28,0,BH1,-6.2,-4.87,-10.5,-11.36
54.1,89.5,-59.32,0,BH1,2.0,-3.43,-7.69,-5.81
54.1,89.5,-60.38,0,BH1,-8.24,-1.94,-9.66,-3.29
54.1,89.5,-61.42,0,BH1,-13.48,7.64,-1.72,-14.52
54.1,89.5,-62.48,0,BH1,-2.43,-4.49,-4.48,0.97
54.1,89.5,-63.52,0,BH1,6.7,10.48,-1.76,-4.95
54.1,89.5,-64.58,0,BH1,-8.83,3.35,-8.07,-16.54
54.1,89.5,-65.62,0,BH1,-6.96,7.3,-7.01,-7.28
54.1,89.5,-66.68,0,BH1,-16.88,-2.56,-4.62,-5.87
54.1,89.5,-67.72,0,BH1,-4.86,5.16,-3.94,1.36
54.1,89.5,-68.78,0,BH1,-9.52,7.93,-4.78,-7.23
54.1,89.5,-69.82,0,BH1,0.49,8.23,-7.17,-4.71
54.1,89.5,-70.88,0,BH1,-5.5,-8.44,-14.23,-2.16
54.1,89.5,-71.92,0,BH1,-3.46,3.53,-10.87,-0.96
54.1,89.5,-72.97,0,BH1,-8.09,10.52,3.55,4.72
54.1,89.5,-74.03,0,BH1,-3.14,-7.41,-5.52,-7.27
54.1,89.5,-75.08,0,BH1,-1.15,-1.46,-4.62,-3.67
54.1,89.5,-76.12,0,BH1,-8.52,-9.05,-5.86,-3.83
54.1,89.5,-77.18,0,BH1,-9.26,-2.93,-15.5,-6.0
54.1,89.5,-78.22,0,BH1,-10.76,5.07,-2.76,-13.11
54.1,89.5,-79.28,0,BH1,-17.57,3.83,-15.43,-0.89
54.1,89.5,-80.32,0,BH1,-7.15,5.77,-13.44,-9.28
54.1,89.5,-81.38,0,BH1,-7.73,9.58,-7.02,-9.72
54.1,89.5,-82.42,0,BH1,-11.01,2.46,-14.47,-12.4
54.1,89.5,-83.48,0,BH1,-7.58,6.71,-2.06,-17.47
54.1,89.5,-84.52,0,BH1,-10.94,3.04,-9.86,-0.77
54.1,89.5,-85.58,0,BH1,-4.18,5.2,-4.55,-5.5
54.1,89.5,-86.62,0,BH1,-0.87,-4.69,-9.14,-9.58
54.1,89.5,-87.68,0,BH1,-10.49,-5.32,-8.25,5.55
54.1,89.5,-88.72,0,BH1,-7.29,-4.5,-1.67,-1.81
54.1,89.5,-89.78,0,BH1,-6.34,7.41,-12.76,-14.04
54.1,89.5,-90.82,0,BH1,-6.1,-3.38,-13.32,-4.58
54.1,89.5,-91.88,0,BH1,0.63,8.05,-6.39,-3.81
54.1,89.5,-92.92,0,BH1,-7.97,3.15,-6.04,-3.45
54.1,89.5,-93.98,0,BH1,-3.49,0.14,-16.01,-7.7
54.1,89.5,-95.02,0,BH1,-16.57,-4.59,-9.45,-1.69
54.1,89.5,-96.08,0,BH1,2.94,-1.22,-13.09,-10.08
54.1,89.5,-97.12,0,BH1,-12.28,-6.44,-5.6,-2.12
54.1,89.5,-98.18,0,BH1,-3.27,6.3,-9.97,4.12
54.1,89.5,-99.22,0,BH1,-2.24,10.11,-2.12,-2.62
54.1,89.5,-100.28,2,BH1,-9.07,10.28,-3.68,-4.22
54.1,89.5,-101.32,2,BH1,-4.21,7.63,-6.16,-4.21
54.1,89.5,-102.38,2,BH1,-6.34,3.51,-15.06,13.08
54.1,89.5,-103.42,2,BH1,-5.56,11.33,-3.21,10.93
54.1,89.5,-104.48,2,BH1,-13.34,0.82,-7.55,12.12
54.1,89.5,-105.52,2,BH1,-0.16,7.34,-4.16,9.06
54.1,89.5,-106.58,2,BH1,-12.6,18.68,-5.33,5.98
54.1,89.5,-107.62,2,BH1,-11.57,3.8,-1.11,3.84
54.1,89.5,-108.68,2,BH1,-13.46,1.33,-5.0,9.08
54.1,89.5,-109.72,2,BH1,-15.62,6.1,-8.69,0.03
54.1,89.5,-110.78,2,BH1,-7.69,8.89,5.89,6.84
54.1,89.5,-111.82,2,BH1,-9.47,8.61,4.73,5.15
54.1,89.5,-112.88,2,BH1,-9.18,4.24,-10.43,12.94
54.1,89.5,-113.92,2,BH1,-15.48,-4.36,-4.04,6.3
54.1,89.5,-114.98,2,BH1,-18.35,11.8,-0.75,16.97
54.1,89.5,-116.02,2,BH1,-8.16,7.84,-10.26,2.53
54.1,89.5,-117.08,2,BH1,-8.71,3.43,-4.14,8.92
54.1,89.5,-118.12,2,BH1,-4.61,10.16,-11.35,2.02
54.1,89.5,-119.18,2,BH1,-19.36,6.88,-2.25,4.32
54.1,89.5,-120.22,2,BH1,-8.86,14.68,5.11,6.27
54.1,89.5,-121.28,2,BH1,-7.71,2.36,0.69,14.84
54.1,89.5,-122.32,2,BH1,-12.29,5.29,-4.91,5.16
54.1,89.5,-123.38,2,BH1,-12.86,-1.81,1.18,1.61
54.1,89.5,-124.42,2,BH1,-3.71,-4.88,-1.36,-1.4
54.1,89.5,-125.48,2,BH1,-13.44,6.96,11.46,2.87
54.1,89.5,-126.52,2,BH1,-5.27,4.18,-1.7,5.94
54.1,89.5,-127.58,2,BH1,-4.31,3.73,0.0,7.01
54.1,89.5,-128.62,2,BH1,-3.02,-1.37,-1.93,10.19
54.1,89.5,-129.68,2,BH1,-10.82,3.95,0.83,8.41
54.1,89.5,-130.72,2,BH1,-11.92,12.0,-13.32,-0.15
54.1,89.5,-131.78,2,BH1,-14.32,8.78,-1.49,9.37
54.1,89.5,-132.82,2,BH1,-13.18,-0.71,-5.69,5.85
54.1,89.5,-133.88,2,BH1,-14.58,12.45,3.49,8.42
54.1,89.5,-134.93,2,BH1,-17.8,6.46,-1.22,-1.88
54.1,89.5,-135.98,2,BH1,-8.66,12.14,-4.24,8.8
54.1,89.5,-137.02,2,BH1,-11.19,18.68,5.3,9.13
54.1,89.5,-138.07,2,BH1,-18.56,0.79,2.41,2.56
54.1,89.5,-139.12,2,BH1,-8.52,11.04,-2.15,5.34
54.1,89.5,-140.18,2,BH1,-6.62,-3.64,-4.86,0.83
54.1,89.5,-141.22,2,BH1,-4.93,-1.13,1.91,-0.72
54.1,89.5,-142.28,2,BH1,-11.67,-1.36,7.58,5.6
54.1,89.5,-143.32,2,BH1,-5.93,5.36,5.81,12.95
54.1,89.5,-144.38,2,BH1,-10.25,10.32,12.62,9.14
54.1,89.5,-145.43,2,BH1,-11.49,0.4,-5.84,-0.62
54.1,89.5,-146.48,2,BH1,-2.09,9.68,-10.31,-3.5
54.1,89.5,-147.52,2,BH1,-11.62,-0.95,-1.58,4.01
54.1,89.5,-148.57,2,BH1,-7.42,21.11,-3.01,3.52
54.1,89.5,-149.62,2,BH1,-0.19,5.48,10.42,7.44
54.1,89.5,-150.68,1,BH1,-9.09,-0.58,9.89,0.22
54.1,89.5,-151.72,1,BH1,1.58,9.94,4.89,4.63
54.1,89.5,-152.78,1,BH1,1.12,2.86,12.02,2.11
54.1,89.5,-153.82,1,BH1,7.86,13.48,3.65,8.43
54.1,89.5,-154.88,1,BH1,-10.55,4.1,4.02,-2.99
54.1,89.5,-155.93,1,BH1,-6.93,5.51,5.23,4.39
