X,Y,Z,layer,Well Name,feature1,feature2,feature3,feature4
905.0,63.28,-0.0,1,BH1,-1.06,0.97,4.61,7.11
905.0,63.28,-10.02,1,BH1,-1.02,0.82,4.39,6.97
905.0,63.28,-20.03,1,BH1,-0.99,0.8,4.47,6.97
905.0,63.28,-30.05,1,BH1,-0.98,0.87,4.51,7.13
905.0,63.28,-40.07,1,BH1,-1.07,0.8,4.64,6.98
905.0,63.28,-50.08,1,BH1,-1.04,0.78,4.56,7.14
905.0,63.28,-60.1,1,BH1,-0.93,0.8,4.47,7.05
905.0,63.28,-70.12,1,BH1,-0.97,0.69,4.48,6.86
905.0,63.28,-80.13,1,BH1,-0.85,0.73,4.46,6.88
905.0,63.28,-90.15,1,BH1,-0.97,0.95,4.47,7.02
905.0,63.28,-100.17,1,BH1,-0.94,0.71,4.63,7.03
905.0,63.28,-110.18,1,BH1,-1.08,0.95,4.61,7.04
905.0,63.28,-120.2,1,BH1,-1.06,0.68,4.44,6.98
905.0,63.28,-130.22,1,BH1,-1.06,0.67,4.57,6.98
905.0,63.28,-140.23,1,BH1,-0.83,0.77,4.76,6.93
905.0,63.28,-150.25,1,BH1,-0.9,0.74,4.58,6.88
905.0,63.28,-160.27,1,BH1,-0.76,0.92,4.54,7.05
905.0,63.28,-170.28,1,BH1,-1.06,0.71,4.63,6.98
905.0,63.28,-180.3,1,BH1,-0.96,0.99,4.59,6.89
905.0,63.28,-190.32,1,BH1,-0.98,0.72,4.42,7.09
905.0,63.28,-200.33,1,BH1,-0.73,0.92,4.41,7.05
905.0,63.28,-210.35,1,BH1,-1.07,0.91,4.75,6.91
905.0,63.28,-220.37,1,BH1,-0.95,0.82,4.43,7.0
905.0,63.28,-230.39,1,BH1,-0.93,0.71,4.52,7.14
905.0,63.28,-240.4,1,BH1,-0.94,1.02,4.66,6.96
905.0,63.28,-250.42,1,BH1,-1.15,0.96,4.65,6.94
905.0,63.28,-260.44,1,BH1,-1.09,0.76,4.47,6.91
905.0,63.28,-270.45,1,BH1,-0.85,0.74,4.73,7.04
905.0,63.28,-280.47,1,BH1,-1.22,0.79,4.58,6.87
905.0,63.28,-290.49,1,BH1,-1.02,0.85,4.6,6.96
905.0,63.28,-300.5,1,BH1,-0.91,0.89,4.61,7.02
905.0,63.28,-310.52,1,BH1,-1.01,0.78,4.46,6.84
905.0,63.28,-320.54,1,BH1,-0.8,0.81,4.53,7.06
905.0,63.28,-330.55,1,BH1,-0.9,0.96,4.51,6.88
905.0,63.28,-340.57,1,BH1,-0.93,0.76,4.57,7.07
905.0,63.28,-350.59,1,BH1,-0.89,1.0,4.41,7.05
905.0,63.28,-360.6,1,BH1,-1.06,0.92,4.7,6.95
