X,Y,Z,layer,Well Name,feature1,feature2,feature3,feature4
1655.0,136.72,-0.0,1,BH1,-6.43,-3.37,-4.58,3.9
1655.0,136.72,-10.02,1,BH1,-6.62,-3.11,-4.59,3.7
1655.0,136.72,-20.03,1,BH1,-6.21,-3.25,-4.51,3.83
1655.0,136.72,-30.05,1,BH1,-6.56,-3.2,-4.54,3.78
1655.0,136.72,-40.07,1,BH1,-6.44,-3.41,-4.35,3.93
1655.0,136.72,-50.08,1,BH1,-6.65,-3.28,-4.73,3.8
1655.0,136.72,-60.1,1,BH1,-6.55,-3.2,-4.54,3.89
1655.0,136.72,-70.12,1,BH1,-6.68,-3.32,-4.6,3.8
1655.0,136.72,-80.13,1,BH1,-6.64,-3.34,-4.38,3.76
1655.0,136.72,-90.15,1,BH1,-6.73,-3.2,-4.38,3.74
1655.0,136.72,-100.17,1,BH1,-6.58,-3.17,-4.73,3.74
1655.0,136.72,-110.18,1,BH1,-6.56,-3.16,-4.55,3.66
1655.0,136.72,-120.2,1,BH1,-6.5,-3.19,-4.66,3.92
1655.0,136.72,-130.22,1,BH1,-6.46,-3.24,-4.44,3.85
1655.0,136.72,-140.23,1,BH1,-6.53,-3.22,-4.54,3.75
1655.0,136.72,-150.25,1,BH1,-6.52,-3.21,-4.39,3.74
1655.0,136.72,-160.27,1,BH1,-6.65,-3.23,-4.58,3.87
1655.0,136.72,-170.28,1,BH1,-6.55,-3.24,-4.56,3.84
1655.0,136.72,-180.3,1,BH1,-6.65,-3.32,-4.59,3.74
1655.0,136.72,-190.32,1,BH1,-6.47,-3.13,-4.6,3.72
1655.0,136.72,-200.33,1,BH1,-6.37,-3.0,-4.6,3.94
1655.0,136.72,-210.35,1,BH1,-6.59,-3.28,-4.69,3.64
1655.0,136.72,-220.37,1,BH1,-6.62,-3.19,-4.61,3.73
1655.0,136.72,-230.39,1,BH1,-6.56,-3.34,-4.62,3.71
1655.0,136.72,-240.4,1,BH1,-6.36,-3.14,-4.47,3.81
1655.0,136.72,-250.42,1,BH1,-6.53,-3.43,-4.35,3.92
1655.0,136.72,-260.44,1,BH1,-6.59,-3.27,-4.68,3.97
1655.0,136.72,-270.45,1,BH1,-6.59,-3.36,-4.6,3.8
1655.0,136.72,-280.47,1,BH1,-6.56,-3.17,-4.59,3.71
1655.0,136.72,-290.49,1,BH1,-6.47,-3.29,-4.58,3.84
1655.0,136.72,-300.5,1,BH1,-6.63,-3.13,-4.61,3.85
1655.0,136.72,-310.52,1,BH1,-6.44,-3.3,-4.57,3.75
1655.0,136.72,-320.54,1,BH1,-6.51,-3.31,-4.51,3.71
1655.0,136.72,-330.55,1,BH1,-6.51,-3.12,-4.61,4.05
1655.0,136.72,-340.57,1,BH1,-6.49,-3.08,-4.48,3.85
1655.0,136.72,-350.59,1,BH1,-6.74,-3.36,-4.55,3.68
1655.0,136.72,-360.6,1,BH1,-6.58,-3.23,-4.5,3.88
1655.0,136.72,-370.62,1,BH1,-6.56,-3.18,-4.72,3.82
1655.0,136.72,-380.64,1,BH1,-6.62,-3.35,-4.52,3.77
