X,Y,Z,layer,Well Name,feature1,feature2,feature3,feature4
355.0,0.33,-0.0,1,BH1,-4.86,3.96,-5.0,-3.76
355.0,0.33,-10.02,1,BH1,-2.36,1.34,5.98,4.2
355.0,0.33,-20.03,1,BH1,-2.82,3.47,4.46,6.1
355.0,0.33,-30.05,1,BH1,-4.41,4.12,1.87,1.42
355.0,0.33,-40.07,1,BH1,-4.24,3.51,0.57,-3.94
355.0,0.33,-50.08,1,BH1,4.54,-4.82,6.7,-3.16
355.0,0.33,-60.1,1,BH1,3.02,1.77,-5.51,0.5
355.0,0.33,-70.12,1,BH1,-7.28,5.47,-2.49,-2.01
355.0,0.33,-80.13,1,BH1,-7.81,6.08,-8.23,-0.8
355.0,0.33,-90.15,1,BH1,-4.51,5.35,-5.29,-3.68
355.0,0.33,-100.17,1,BH1,-7.0,3.62,1.77,-6.05
355.0,0.33,-110.18,1,BH1,-2.39,7.64,2.54,-2.51
355.0,0.33,-120.2,1,BH1,-6.25,1.15,-3.34,-0.61
355.0,0.33,-130.22,1,BH1,-2.99,0.94,-0.01,1.38
355.0,0.33,-140.23,1,BH1,-8.07,3.26,-2.79,-7.94
355.0,0.33,-150.25,1,BH1,2.56,3.95,-3.55,0.87
355.0,0.33,-160.27,1,BH1,-5.67,3.9,1.0,-8.47
355.0,0.33,-170.28,1,BH1,-0.01,1.59,-6.46,0.15
355.0,0.33,-180.3,1,BH1,-5.28,0.4,-4.66,2.0
355.0,0.33,-190.32,1,BH1,0.46,-2.63,1.54,-11.03
355.0,0.33,-200.33,1,BH1,2.98,-5.85,-6.34,-2.26
355.0,0.33,-210.35,1,BH1,-2.34,1.77,-6.49,-4.01
355.0,0.33,-220.37,1,BH1,-5.21,0.1,-6.56,-3.81
355.0,0.33,-230.39,1,BH1,-7.12,-9.16,3.2,-2.49
355.0,0.33,-240.4,1,BH1,-4.59,2.78,1.9,-3.34
355.0,0.33,-250.42,1,BH1,-6.23,4.31,-2.8,-6.49
355.0,0.33,-260.44,1,BH1,-0.5,-10.25,7.46,-2.84
355.0,0.33,-270.45,1,BH1,-2.23,11.42,-0.02,-10.68
355.0,0.33,-280.47,1,BH1,-4.49,2.87,-3.79,0.01
355.0,0.33,-290.49,1,BH1,-4.77,-0.45,-3.89,-7.58
355.0,0.33,-300.5,1,BH1,-5.95,7.17,-2.6,-2.41
355.0,0.33,-310.52,1,BH1,-0.94,-8.2,4.2,-2.47
355.0,0.33,-320.54,1,BH1,-1.87,1.42,-3.62,0.58
355.0,0.33,-330.55,1,BH1,-6.59,5.76,-9.85,-4.96
355.0,0.33,-340.57,1,BH1,-4.14,-3.51,3.51,6.24
355.0,0.33,-350.59,1,BH1,-1.3,1.21,-9.52,-1.26
355.0,0.33,-360.6,1,BH1,-4.83,1.22,-7.46,-3.12
355.0,0.33,-370.62,1,BH1,-3.83,3.25,-5.15,-5.78
355.0,0.33,-380.64,1,BH1,-0.3,0.91,-4.59,1.29
355.0,0.33,-390.65,1,BH1,-4.65,2.52,-8.69,4.21
355.0,0.33,-400.67,1,BH1,-0.72,-3.58,-4.54,-5.59
355.0,0.33,-410.69,1,BH1,-0.5,3.74,-2.75,-7.38
355.0,0.33,-420.7,1,BH1,-12.19,-6.63,-1.3,2.15
355.0,0.33,-430.72,1,BH1,0.33,3.04,-5.07,-0.25
355.0,0.33,-440.74,1,BH1,-3.0,5.98,-15.57,-7.7
355.0,0.33,-450.75,1,BH1,2.9,-1.28,-0.55,0.4
355.0,0.33,-460.77,1,BH1,-3.79,0.01,4.92,-2.07
355.0,0.33,-470.79,1,BH1,8.47,-1.11,-4.51,-4.98
355.0,0.33,-480.8,1,BH1,-1.33,-4.14,-0.21,-1.06
355.0,0.33,-490.82,1,BH1,-4.5,4.87,-6.29,2.32
355.0,0.33,-500.84,1,BH1,-0.84,-1.7,-6.41,2.54
355.0,0.33,-510.85,1,BH1,-3.82,3.77,0.21,-2.6
355.0,0.33,-520.87,1,BH1,0.56,1.96,-5.56,1.11
355.0,0.33,-530.89,1,BH1,3.29,-1.45,-3.12,-9.3
355.0,0.33,-540.9,1,BH1,-1.48,-9.3,2.89,1.27
355.0,0.33,-550.92,1,BH1,-2.77,8.05,-4.25,0.34
355.0,0.33,-560.94,1,BH1,-3.45,0.02,2.55,-0.05
355.0,0.33,-570.95,1,BH1,-2.3,6.06,1.34,1.23
355.0,0.33,-580.97,1,BH1,-1.89,0.02,-0.79,-9.13
355.0,0.33,-590.99,1,BH1,-5.45,2.45,-1.49,0.32
355.0,0.33,-601.01,1,BH1,-7.51,0.66,2.83,5.01
355.0,0.33,-611.02,1,BH1,-9.19,-5.39,-0.45,-8.63
355.0,0.33,-621.04,1,BH1,-5.97,7.28,4.89,4.22
355.0,0.33,-631.06,1,BH1,-6.91,1.34,-5.43,-6.02
355.0,0.33,-641.07,1,BH1,-10.61,7.45,-2.48,-1.17
355.0,0.33,-651.09,1,BH1,0.43,1.67,-1.83,-6.04
355.0,0.33,-661.11,1,BH1,-0.26,1.3,-0.28,1.48
