X,Y,Z,layer,Well Name,feature1,feature2,feature3,feature4
525.0,189.18,-0.0,1,BH1,-0.5,9.44,11.1,-5.49
525.0,189.18,-10.02,1,BH1,-1.11,10.54,5.53,-5.34
525.0,189.18,-20.03,1,BH1,-7.26,5.96,9.8,-9.85
525.0,189.18,-30.05,1,BH1,-3.77,12.67,7.74,0.24
525.0,189.18,-40.07,1,BH1,6.41,5.49,6.37,-0.93
525.0,189.18,-50.08,1,BH1,1.86,10.85,5.89,-6.96
525.0,189.18,-60.1,1,BH1,-4.94,13.21,4.56,-4.53
525.0,189.18,-70.12,1,BH1,-2.14,16.05,4.41,-12.86
525.0,189.18,-80.13,1,BH1,-7.77,11.75,7.25,-2.47
525.0,189.18,-90.15,1,BH1,1.92,12.04,16.46,-3.9
525.0,189.18,-100.17,1,BH1,2.42,12.89,2.98,-4.54
525.0,189.18,-110.18,1,BH1,-7.66,2.11,4.02,-5.66
525.0,189.18,-120.2,1,BH1,-1.77,10.98,10.28,-6.98
525.0,189.18,-130.22,1,BH1,-2.93,11.44,12.88,-3.17
525.0,189.18,-140.23,1,BH1,6.37,14.09,-1.92,-7.4
525.0,189.18,-150.25,1,BH1,0.96,9.26,15.16,-14.52
525.0,189.18,-160.27,1,BH1,-2.65,13.84,1.62,-0.44
525.0,189.18,-170.28,1,BH1,-4.61,13.0,12.42,-13.23
525.0,189.18,-180.3,1,BH1,-7.31,5.53,14.63,0.65
525.0,189.18,-190.32,1,BH1,-5.72,13.85,11.63,-8.39
525.0,189.18,-200.33,1,BH1,-3.03,10.35,5.62,-2.28
525.0,189.18,-210.35,1,BH1,-4.54,8.73,4.38,-8.54
525.0,189.18,-220.37,1,BH1,-3.41,9.55,13.72,-3.03
525.0,189.18,-230.39,1,BH1,-4.64,11.92,0.45,-1.22
525.0,189.18,-240.4,1,BH1,7.55,12.34,3.13,-2.53
525.0,189.18,-250.42,1,BH1,-7.7,5.36,10.28,-0.73
525.0,189.18,-260.44,1,BH1,-8.34,9.61,-4.94,-7.24
525.0,189.18,-270.45,1,BH1,-10.05,14.84,5.22,-6.72
525.0,189.18,-280.47,1,BH1,-2.32,5.06,4.57,-6.02
525.0,189.18,-290.49,1,BH1,-4.34,9.04,5.71,-6.0
525.0,189.18,-300.5,1,BH1,-5.34,10.05,11.29,1.1
525.0,189.18,-310.52,1,BH1,-7.07,6.8,4.11,0.36
525.0,189.18,-320.54,1,BH1,0.82,16.33,-5.63,-10.19
525.0,189.18,-330.55,1,BH1,-6.67,17.49,10.59,-12.69
525.0,189.18,-340.57,1,BH1,-3.15,7.79,9.37,-9.01
525.0,189.18,-350.59,1,BH1,4.22,14.33,6.78,4.74
525.0,189.18,-360.6,1,BH1,-1.36,12.7,9.82,4.23
525.0,189.18,-370.62,1,BH1,-4.66,18.43,5.27,-4.45
525.0,189.18,-380.64,1,BH1,-4.48,-0.66,10.78,-2.5
525.0,189.18,-390.65,1,BH1,-5.18,9.99,4.7,-3.59
525.0,189.18,-400.67,1,BH1,-7.76,11.71,9.99,-6.47
525.0,189.18,-410.69,1,BH1,-8.0,12.35,9.74,-9.12
525.0,189.18,-420.7,1,BH1,-1.18,2.54,4.72,-2.62
525.0,189.18,-430.72,1,BH1,1.3,8.11,9.16,2.08
525.0,189.18,-440.74,1,BH1,4.24,15.34,-2.47,-12.46
525.0,189.18,-450.75,1,BH1,-7.43,6.88,11.22,3.52
525.0,189.18,-460.77,1,BH1,2.17,-1.21,6.13,-5.54
525.0,189.18,-470.79,1,BH1,-0.62,10.95,13.19,1.02
525.0,189.18,-480.8,1,BH1,2.39,8.77,7.7,-5.49
525.0,189.18,-490.82,1,BH1,-4.68,4.66,6.48,-16.4
525.0,189.18,-500.84,1,BH1,-3.62,9.47,5.3,-4.62
525.0,189.18,-510.85,1,BH1,-1.83,23.94,5.22,-7.1
525.0,189.18,-520.87,1,BH1,2.88,-1.74,11.65,-14.82
525.0,189.18,-530.89,1,BH1,0.7,-0.56,9.25,4.5
525.0,189.18,-540.9,1,BH1,2.63,0.85,13.05,-8.01
525.0,189.18,-550.92,1,BH1,-10.02,5.98,12.68,-7.22
525.0,189.18,-560.94,1,BH1,1.25,10.84,6.51,-6.58
525.0,189.18,-570.95,1,BH1,-11.92,10.27,-2.62,-20.18
525.0,189.18,-580.97,1,BH1,-2.32,13.6,11.47,2.55
525.0,189.18,-590.99,1,BH1,-7.8,7.74,6.65,-7.63
525.0,189.18,-601.01,1,BH1,-1.16,7.82,4.65,-11.3
525.0,189.18,-611.02,1,BH1,2.47,17.21,0.43,-10.77
525.0,189.18,-621.04,1,BH1,-4.54,17.34,7.67,-5.32
525.0,189.18,-631.06,1,BH1,-2.9,9.24,13.34,-2.77
525.0,189.18,-641.07,1,BH1,-1.67,9.24,-3.5,-9.21
525.0,189.18,-651.09,1,BH1,-4.27,0.93,12.94,-5.43
525.0,189.18,-661.11,1,BH1,1.08,7.24,0.88,-9.87
525.0,189.18,-671.12,1,BH1,1.94,12.48,5.32,-1.42
525.0,189.18,-681.14,1,BH1,8.93,17.18,8.02,-13.0
525.0,189.18,-691.16,1,BH1,0.26,5.49,12.12,-3.61
525.0,189.18,-701.17,1,BH1,-0.38,13.67,10.99,-10.73
525.0,189.18,-711.19,1,BH1,-1.09,15.38,11.01,-0.04
525.0,189.18,-721.21,1,BH1,-5.78,0.11,1.38,-8.16
525.0,189.18,-731.22,1,BH1,2.72,19.62,9.83,-6.55
525.0,189.18,-741.24,1,BH1,-4.73,3.43,7.37,-2.51
525.0,189.18,-751.26,1,BH1,3.97,15.12,1.14,-8.92
525.0,189.18,-761.27,1,BH1,2.0,6.76,16.72,-7.23
525.0,189.18,-771.29,1,BH1,3.01,6.6,12.86,-9.78
525.0,189.18,-781.31,1,BH1,-0.45,13.25,7.9,-3.38
525.0,189.18,-791.32,1,BH1,-2.87,6.22,2.03,-7.2
525.0,189.18,-801.34,1,BH1,-11.67,11.12,12.63,-1.4
525.0,189.18,-811.36,1,BH1,-6.71,10.81,12.42,-8.51
525.0,189.18,-821.37,1,BH1,2.7,12.42,8.36,-4.92
525.0,189.18,-831.39,1,BH1,-9.6,12.79,10.0,-12.93
525.0,189.18,-841.41,2,BH1,4.65,6.74,4.5,5.75
525.0,189.18,-851.42,2,BH1,15.52,-3.01,7.81,9.55
525.0,189.18,-861.44,2,BH1,1.24,-3.4,9.75,16.79
525.0,189.18,-871.46,2,BH1,12.22,-5.1,13.15,11.63
525.0,189.18,-881.47,2,BH1,7.87,12.45,5.88,-2.4
525.0,189.18,-891.49,2,BH1,5.81,-0.84,1.64,17.9
525.0,189.18,-901.51,2,BH1,-3.15,8.58,11.08,3.57
525.0,189.18,-911.52,2,BH1,5.46,8.58,3.94,10.37
525.0,189.18,-921.54,2,BH1,5.52,3.94,6.49,11.62
525.0,189.18,-931.56,2,BH1,7.06,3.02,13.68,-1.32
525.0,189.18,-941.57,2,BH1,11.96,9.58,15.2,3.95
525.0,189.18,-951.59,2,BH1,0.95,7.8,8.48,6.0
525.0,189.18,-961.61,2,BH1,3.69,-0.14,6.55,0.72
525.0,189.18,-971.62,2,BH1,3.17,3.96,12.87,11.13
525.0,189.18,-981.64,2,BH1,3.02,3.51,10.02,3.74
525.0,189.18,-991.66,2,BH1,4.79,2.77,10.13,8.95
525.0,189.18,-1001.67,2,BH1,8.48,2.15,0.66,3.87
525.0,189.18,-1011.69,2,BH1,3.49,-0.86,1.81,-1.03
525.0,189.18,-1021.71,2,BH1,2.78,-0.44,4.47,8.84
525.0,189.18,-1031.73,2,BH1,4.14,-6.41,10.49,3.85
525.0,189.18,-1041.74,3,BH1,0.91,6.98,-11.85,0.45
525.0,189.18,-1051.76,3,BH1,2.7,12.36,-6.93,-4.04
525.0,189.18,-1061.78,3,BH1,3.27,11.36,-7.88,-5.31
525.0,189.18,-1071.79,3,BH1,-4.14,3.5,1.7,-6.78
525.0,189.18,-1081.81,3,BH1,-4.53,11.42,-9.8,-10.83
525.0,189.18,-1091.83,3,BH1,10.43,11.02,-22.39,-11.83
525.0,189.18,-1101.84,3,BH1,5.08,3.59,-1.16,-8.92
525.0,189.18,-1111.86,3,BH1,6.2,12.75,-2.54,-8.62
525.0,189.18,-1121.88,3,BH1,9.25,6.98,-6.06,-1.11
525.0,189.18,-1131.89,3,BH1,3.2,3.34,-4.1,-0.31
525.0,189.18,-1141.91,3,BH1,-3.86,4.24,-7.25,-6.71
525.0,189.18,-1151.93,3,BH1,8.25,15.16,-4.13,-8.7
525.0,189.18,-1161.94,3,BH1,6.55,-0.66,-7.18,-3.67
525.0,189.18,-1171.96,3,BH1,-4.79,9.67,-4.26,-1.98
525.0,189.18,-1181.98,3,BH1,2.87,6.02,-1.3,-5.05
525.0,189.18,-1191.99,3,BH1,12.05,15.16,-3.73,-2.77
525.0,189.18,-1202.01,3,BH1,-1.48,14.44,-6.33,-12.16
525.0,189.18,-1212.03,3,BH1,9.14,12.96,-5.85,-1.97
