X,Y,Z,layer,Well Name,feature1,feature2,feature3,feature4
1940.0,1793.33,-0.0,2,BH1,-4.98,-9.26,3.53,-9.19
1940.0,1793.33,-13.33,2,BH1,-4.99,-9.05,3.47,-9.24
1940.0,1793.33,-26.67,2,BH1,-5.13,-9.03,3.49,-9.12
1940.0,1793.33,-40.0,2,BH1,-5.09,-9.12,3.53,-9.25
1940.0,1793.33,-53.33,2,BH1,-4.95,-9.09,3.55,-9.12
1940.0,1793.33,-66.67,2,BH1,-4.76,-9.2,3.6,-9.2
1940.0,1793.33,-80.0,2,BH1,-4.99,-9.18,3.66,-8.89
1940.0,1793.33,-93.33,2,BH1,-5.08,-9.07,3.32,-8.93
1940.0,1793.33,-106.67,2,BH1,-5.21,-8.86,3.38,-9.16
1940.0,1793.33,-120.0,2,BH1,-5.05,-9.02,3.41,-9.04
1940.0,1793.33,-133.33,2,BH1,-4.96,-8.98,3.4,-9.03
1940.0,1793.33,-146.67,2,BH1,-5.03,-8.97,3.65,-9.19
1940.0,1793.33,-160.0,2,BH1,-5.05,-9.04,3.59,-9.12
1940.0,1793.33,-173.33,2,BH1,-4.97,-9.07,3.6,-9.28
1940.0,1793.33,-186.67,2,BH1,-5.09,-8.84,3.5,-9.26
1940.0,1793.33,-200.0,2,BH1,-4.85,-9.06,3.56,-8.85
1940.0,1793.33,-213.33,2,BH1,-4.87,-9.08,3.59,-9.18
1940.0,1793.33,-226.67,2,BH1,-4.98,-9.16,3.51,-9.09
1940.0,1793.33,-240.0,2,BH1,-5.02,-9.14,3.47,-9.25
1940.0,1793.33,-253.33,2,BH1,-5.06,-9.24,3.42,-9.13
1940.0,1793.33,-266.67,2,BH1,-4.73,-9.17,3.62,-9.16
1940.0,1793.33,-280.0,2,BH1,-4.92,-9.05,3.73,-9.12
1940.0,1793.33,-293.33,2,BH1,-4.94,-9.08,3.58,-9.19
1940.0,1793.33,-306.67,2,BH1,-4.94,-8.88,3.73,-9.21
1940.0,1793.33,-320.0,2,BH1,-5.02,-8.96,3.72,-9.08
1940.0,1793.33,-333.33,2,BH1,-4.96,-9.13,3.45,-9.06
1940.0,1793.33,-346.67,2,BH1,-4.74,-9.14,3.41,-9.06
1940.0,1793.33,-360.0,2,BH1,-4.99,-8.96,3.58,-9.19
1940.0,1793.33,-373.33,2,BH1,-5.05,-9.19,3.49,-9.22
1940.0,1793.33,-386.67,2,BH1,-4.92,-9.12,3.42,-9.2
1940.0,1793.33,-400.0,2,BH1,-5.06,-8.91,3.41,-8.98
1940.0,1793.33,-413.33,2,BH1,-4.84,-9.06,3.69,-9.27
1940.0,1793.33,-426.67,2,BH1,-4.98,-8.92,3.47,-9.08
1940.0,1793.33,-440.0,2,BH1,-5.13,-9.21,3.58,-9.21
1940.0,1793.33,-453.33,2,BH1,-5.04,-9.0,3.6,-9.14
1940.0,1793.33,-466.67,2,BH1,-4.99,-9.22,3.56,-9.18
1940.0,1793.33,-480.0,2,BH1,-4.83,-9.11,3.51,-9.27
1940.0,1793.33,-493.33,2,BH1,-5.17,-9.15,3.64,-9.05
1940.0,1793.33,-506.67,2,BH1,-5.0,-9.19,3.3,-9.08
1940.0,1793.33,-520.0,2,BH1,-4.91,-9.01,3.67,-8.95
