X,Y,Z,layer,Well Name,feature1,feature2,feature3,feature4
1446.67,1566.67,-0.0,2,BH1,-0.52,4.37,-0.7,1.48
1446.67,1566.67,-13.33,2,BH1,3.79,2.73,2.87,-1.51
1446.67,1566.67,-26.67,2,BH1,3.62,7.4,-0.72,5.13
1446.67,1566.67,-40.0,2,BH1,1.72,6.13,-0.46,-3.21
1446.67,1566.67,-53.33,2,BH1,-0.47,4.31,5.18,1.39
1446.67,1566.67,-66.67,2,BH1,3.65,2.88,2.97,4.0
1446.67,1566.67,-80.0,2,BH1,-1.9,7.35,-3.14,2.66
1446.67,1566.67,-93.33,2,BH1,4.21,-3.37,5.6,-1.0
1446.67,1566.67,-106.67,2,BH1,1.8,8.61,3.58,0.55
1446.67,1566.67,-120.0,2,BH1,3.21,4.93,2.04,5.0
1446.67,1566.67,-133.33,2,BH1,-0.29,4.62,2.74,1.5
1446.67,1566.67,-146.67,2,BH1,1.36,5.51,7.7,-3.15
1446.67,1566.67,-160.0,2,BH1,1.96,8.75,1.91,-1.63
1446.67,1566.67,-173.33,2,BH1,-7.43,0.74,0.24,-2.55
1446.67,1566.67,-186.67,2,BH1,1.45,3.65,3.38,1.55
1446.67,1566.67,-200.0,2,BH1,0.42,0.87,5.49,0.84
1446.67,1566.67,-213.33,2,BH1,-3.92,-0.4,-1.48,4.8
1446.67,1566.67,-226.67,2,BH1,0.67,4.36,7.6,0.26
1446.67,1566.67,-240.0,2,BH1,1.91,1.07,5.24,-2.66
1446.67,1566.67,-253.33,2,BH1,4.83,6.1,8.62,0.24
1446.67,1566.67,-266.67,2,BH1,-5.39,-1.21,7.96,0.31
1446.67,1566.67,-280.0,2,BH1,1.64,4.04,2.35,2.04
1446.67,1566.67,-293.33,2,BH1,0.91,7.54,-3.96,2.03
1446.67,1566.67,-306.67,2,BH1,-1.09,0.66,0.73,0.06
1446.67,1566.67,-320.0,2,BH1,0.3,10.08,7.91,4.62
1446.67,1566.67,-333.33,2,BH1,4.51,3.76,-1.16,4.06
