X,Y,Z,layer,Well Name,feature1,feature2,feature3,feature4
620.0,1540.0,-0.0,2,BH1,-20.12,10.3,-6.84,-4.38
620.0,1540.0,-13.33,2,BH1,-7.52,-5.16,-8.42,-7.22
620.0,1540.0,-26.67,2,BH1,-9.1,7.06,-4.17,2.93
620.0,1540.0,-40.0,2,BH1,-9.42,0.97,-6.04,-8.48
620.0,1540.0,-53.33,2,BH1,-16.27,8.96,-10.46,-2.7
620.0,1540.0,-66.67,2,BH1,-11.96,6.88,7.83,15.05
620.0,1540.0,-80.0,2,BH1,0.13,-2.47,3.26,2.31
620.0,1540.0,-93.33,2,BH1,-6.53,5.39,-0.48,-0.75
620.0,1540.0,-106.67,2,BH1,-8.5,1.04,-3.47,-17.09
620.0,1540.0,-120.0,2,BH1,-7.67,4.43,-0.15,-0.47
620.0,1540.0,-133.33,2,BH1,-9.48,16.48,-7.05,-10.99
620.0,1540.0,-146.67,2,BH1,-15.64,9.3,-8.2,4.15
620.0,1540.0,-160.0,2,BH1,-4.62,12.72,0.05,-7.28
620.0,1540.0,-173.33,2,BH1,-19.06,2.78,-7.3,2.08
620.0,1540.0,-186.67,2,BH1,-8.43,12.3,-2.45,-0.87
620.0,1540.0,-200.0,2,BH1,-8.57,9.91,-2.32,-5.91
620.0,1540.0,-213.33,2,BH1,-9.84,9.6,-5.33,-7.24
620.0,1540.0,-226.67,2,BH1,-8.0,14.44,1.53,4.65
620.0,1540.0,-240.0,2,BH1,-19.78,4.95,-5.57,6.94
620.0,1540.0,-253.33,2,BH1,-2.58,14.88,-9.8,-1.8
620.0,1540.0,-266.67,2,BH1,-12.75,8.88,-3.14,0.91
620.0,1540.0,-280.0,2,BH1,-13.22,8.37,-6.04,-3.71
620.0,1540.0,-293.33,2,BH1,-23.0,3.6,-10.58,-6.45
620.0,1540.0,-306.67,2,BH1,-9.77,-2.52,-2.34,-3.44
620.0,1540.0,-320.0,2,BH1,-1.76,5.34,-0.52,-16.89
620.0,1540.0,-333.33,2,BH1,-4.65,3.5,2.54,-1.99
620.0,1540.0,-346.67,2,BH1,-3.29,9.22,-7.38,1.58
620.0,1540.0,-360.0,2,BH1,-11.75,4.75,-2.64,-5.91
620.0,1540.0,-373.33,2,BH1,-14.0,6.92,-5.63,-4.32
620.0,1540.0,-386.67,2,BH1,0.53,8.9,-7.47,-15.99
620.0,1540.0,-400.0,2,BH1,-10.08,7.55,-4.34,-0.25
620.0,1540.0,-413.33,2,BH1,-10.71,-0.96,-7.39,2.15
620.0,1540.0,-426.67,2,BH1,-25.34,12.07,3.25,-8.32
620.0,1540.0,-440.0,2,BH1,-15.76,20.13,3.17,-7.81
620.0,1540.0,-453.33,2,BH1,-17.64,9.38,-5.71,-14.8
620.0,1540.0,-466.67,2,BH1,-6.73,8.27,-5.73,-2.25
620.0,1540.0,-480.0,2,BH1,-1.45,9.93,-1.91,5.33
620.0,1540.0,-493.33,2,BH1,-6.93,9.59,-1.4,-2.64
620.0,1540.0,-506.67,2,BH1,-7.52,7.84,-11.6,-3.54
620.0,1540.0,-520.0,2,BH1,-6.08,16.84,-6.63,1.16
620.0,1540.0,-533.33,2,BH1,-11.69,18.47,0.16,0.62
620.0,1540.0,-546.67,2,BH1,-5.76,1.28,-10.37,0.18
620.0,1540.0,-560.0,2,BH1,-15.21,5.35,-5.04,2.64
620.0,1540.0,-573.33,2,BH1,-21.04,4.69,-2.68,-5.33
620.0,1540.0,-586.67,2,BH1,-12.74,20.32,-0.29,-15.37
620.0,1540.0,-600.0,2,BH1,-15.51,2.28,-6.89,-2.26
620.0,1540.0,-613.33,2,BH1,-6.05,6.63,-0.84,-0.99
620.0,1540.0,-626.67,2,BH1,-12.27,8.32,-2.19,-3.03
620.0,1540.0,-640.0,2,BH1,-13.35,9.76,-6.02,-3.73
620.0,1540.0,-653.33,2,BH1,-8.1,5.5,-3.66,-12.4
620.0,1540.0,-666.67,2,BH1,-23.47,11.66,0.49,2.53
620.0,1540.0,-680.0,2,BH1,-13.24,-2.8,-9.76,-7.59
620.0,1540.0,-693.33,2,BH1,-7.56,3.67,-2.34,2.84
620.0,1540.0,-706.67,2,BH1,-18.02,7.41,-2.53,-2.72
620.0,1540.0,-720.0,2,BH1,-9.96,17.22,0.08,-11.48
620.0,1540.0,-733.33,2,BH1,-15.16,7.13,1.48,-6.92
620.0,1540.0,-746.67,2,BH1,-7.4,9.74,0.9,3.04
620.0,1540.0,-760.0,2,BH1,-11.32,6.21,-2.15,-6.32
620.0,1540.0,-773.33,2,BH1,-12.96,9.16,-7.22,-11.29
620.0,1540.0,-786.67,2,BH1,-6.57,8.03,3.36,-8.69
620.0,1540.0,-800.0,2,BH1,-13.55,20.78,-5.98,-7.82
620.0,1540.0,-813.33,2,BH1,-6.55,10.86,-9.26,-8.46
620.0,1540.0,-826.67,2,BH1,-1.24,0.43,-4.45,-1.49
620.0,1540.0,-840.0,2,BH1,-6.04,18.24,-15.81,-8.52
620.0,1540.0,-853.33,2,BH1,-8.12,6.29,-7.92,0.08
620.0,1540.0,-866.67,2,BH1,-6.11,9.76,-6.79,-16.53
620.0,1540.0,-880.0,2,BH1,-10.1,-4.11,-1.09,1.43
620.0,1540.0,-893.33,2,BH1,7.88,6.69,-1.82,2.83
620.0,1540.0,-906.67,2,BH1,-5.21,11.0,-3.88,-10.48
620.0,1540.0,-920.0,2,BH1,-0.47,8.75,-1.19,-9.73
620.0,1540.0,-933.33,2,BH1,-12.59,9.15,-0.72,-2.45
620.0,1540.0,-946.67,2,BH1,-14.08,1.9,-17.43,-3.8
620.0,1540.0,-960.0,2,BH1,-7.86,2.99,-11.44,-2.15
620.0,1540.0,-973.33,2,BH1,-11.96,13.94,-3.83,1.41
620.0,1540.0,-986.67,2,BH1,-18.04,5.9,-3.06,-5.89
620.0,1540.0,-1000.0,2,BH1,-6.67,7.17,-8.57,-12.83
620.0,1540.0,-1013.33,3,BH1,5.61,-6.88,4.75,-0.18
620.0,1540.0,-1026.67,3,BH1,-4.74,-4.0,10.97,0.49
620.0,1540.0,-1040.0,3,BH1,-2.32,-7.57,0.72,3.64
620.0,1540.0,-1053.33,3,BH1,-2.81,-4.59,8.04,0.84
620.0,1540.0,-1066.67,3,BH1,4.0,1.61,3.18,-3.51
620.0,1540.0,-1080.0,3,BH1,13.09,-3.63,6.47,-4.96
620.0,1540.0,-1093.33,3,BH1,7.43,-5.52,0.73,-5.09
620.0,1540.0,-1106.67,3,BH1,3.9,-9.28,7.79,1.95
620.0,1540.0,-1120.0,3,BH1,0.45,-7.02,12.29,2.32
620.0,1540.0,-1133.33,3,BH1,7.59,-4.45,4.75,1.04
620.0,1540.0,-1146.67,3,BH1,10.98,-12.15,8.39,-10.01
620.0,1540.0,-1160.0,3,BH1,3.61,-9.82,12.31,-1.02
620.0,1540.0,-1173.33,3,BH1,1.92,6.19,8.97,-5.02
620.0,1540.0,-1186.67,3,BH1,5.06,0.42,-4.06,-6.03
620.0,1540.0,-1200.0,3,BH1,13.87,1.6,13.18,-3.9
