X,Y,Z,layer,Well Name,feature1,feature2,feature3,feature4
114.75,10.69,-0.18,1,BH1,4.64,1.31,-7.63,-2.11
114.75,10.69,-0.68,1,BH1,4.73,1.21,-7.44,-1.95
114.75,10.69,-1.18,1,BH1,4.54,1.17,-7.57,-1.99
114.75,10.69,-1.68,1,BH1,4.63,1.1,-7.41,-2.23
114.75,10.69,-2.18,1,BH1,4.57,1.16,-7.52,-2.18
114.75,10.69,-2.68,1,BH1,4.69,1.19,-7.61,-2.11
114.75,10.69,-3.18,1,BH1,4.46,1.32,-7.6,-2.05
114.75,10.69,-3.68,1,BH1,4.39,1.25,-7.55,-2.09
114.75,10.69,-4.18,1,BH1,4.71,1.37,-7.22,-2.05
114.75,10.69,-4.69,1,BH1,4.58,1.23,-7.58,-2.05
114.75,10.69,-5.19,1,BH1,4.72,1.19,-7.48,-1.95
114.75,10.69,-5.69,1,BH1,4.43,1.38,-7.48,-1.86
114.75,10.69,-6.19,1,BH1,4.41,1.28,-7.52,-2.03
114.75,10.69,-6.69,1,BH1,4.33,1.26,-7.42,-2.12
114.75,10.69,-7.19,1,BH1,4.75,1.11,-7.54,-1.99
114.75,10.69,-7.69,1,BH1,4.54,1.14,-7.43,-1.97
114.75,10.69,-8.19,1,BH1,4.5,1.17,-7.38,-2.08
114.75,10.69,-8.69,1,BH1,4.48,1.4,-7.48,-1.96
114.75,10.69,-9.19,1,BH1,4.68,1.23,-7.57,-2.01
114.75,10.69,-9.69,1,BH1,4.56,1.19,-7.44,-1.89
114.75,10.69,-10.19,1,BH1,4.43,1.25,-7.47,-2.17
114.75,10.69,-10.69,1,BH1,4.71,1.13,-7.58,-2.12
114.75,10.69,-11.19,1,BH1,4.51,1.21,-7.53,-2.23
114.75,10.69,-11.7,1,BH1,4.58,1.31,-7.45,-2.04
114.75,10.69,-12.2,1,BH1,4.58,1.25,-7.45,-2.04
114.75,10.69,-12.7,1,BH1,4.54,1.25,-7.56,-2.03
114.75,10.69,-13.2,1,BH1,4.62,1.36,-7.58,-2.03
114.75,10.69,-13.7,1,BH1,4.52,1.15,-7.41,-2.19
114.75,10.69,-14.2,1,BH1,4.56,1.3,-7.58,-2.04
114.75,10.69,-14.7,1,BH1,4.67,1.32,-7.54,-2.16
114.75,10.69,-15.2,1,BH1,4.63,1.03,-7.64,-1.96
114.75,10.69,-15.7,1,BH1,4.44,1.2,-7.56,-1.92
114.75,10.69,-16.2,1,BH1,4.49,1.27,-7.51,-2.16
114.75,10.69,-16.7,1,BH1,4.45,1.32,-7.36,-1.99
114.75,10.69,-17.2,1,BH1,4.51,1.33,-7.54,-2.12
114.75,10.69,-17.7,1,BH1,4.51,1.23,-7.61,-2.09
114.75,10.69,-18.2,1,BH1,4.58,1.12,-7.58,-2.05
114.75,10.69,-18.71,1,BH1,4.6,1.31,-7.39,-2.07
114.75,10.69,-19.21,1,BH1,4.34,1.3,-7.36,-2.0
114.75,10.69,-19.71,1,BH1,4.57,1.17,-7.53,-1.89
114.75,10.69,-20.21,1,BH1,4.6,1.37,-7.62,-2.12
114.75,10.69,-20.71,1,BH1,4.56,1.3,-7.48,-2.08
114.75,10.69,-21.21,1,BH1,4.73,1.2,-7.56,-2.12
114.75,10.69,-21.71,1,BH1,4.64,1.12,-7.45,-2.1
114.75,10.69,-22.21,1,BH1,4.59,1.27,-7.68,-2.01
114.75,10.69,-22.71,1,BH1,4.64,1.27,-7.4,-2.03
114.75,10.69,-23.21,1,BH1,4.63,1.27,-7.59,-2.24
114.75,10.69,-23.71,1,BH1,4.55,1.18,-7.58,-2.02
114.75,10.69,-24.21,1,BH1,4.69,1.23,-7.45,-2.1
114.75,10.69,-24.71,1,BH1,4.61,1.11,-7.48,-2.06
114.75,10.69,-25.21,1,BH1,4.67,1.19,-7.73,-2.12
114.75,10.69,-25.72,1,BH1,4.61,1.26,-7.34,-2.01
114.75,10.69,-26.22,1,BH1,4.47,1.25,-7.54,-2.12
114.75,10.69,-26.72,1,BH1,4.56,1.28,-7.54,-2.0
114.75,10.69,-27.22,1,BH1,4.73,1.4,-7.44,-2.15
114.75,10.69,-27.72,1,BH1,4.57,1.18,-7.5,-2.13
114.75,10.69,-28.22,1,BH1,4.56,1.24,-7.39,-2.11
114.75,10.69,-28.72,1,BH1,4.58,1.39,-7.4,-1.89
