X,Y,Z,layer,Well Name,feature1,feature2,feature3,feature4
20.75,74.79,-0.18,1,BH1,-2.42,4.4,2.44,1.16
20.75,74.79,-0.68,1,BH1,0.09,-1.97,-8.3,0.22
20.75,74.79,-1.18,1,BH1,9.21,4.71,-5.49,1.07
20.75,74.79,-1.68,1,BH1,2.9,5.17,-12.85,0.09
20.75,74.79,-2.18,1,BH1,13.9,7.14,-4.44,6.46
20.75,74.79,-2.68,1,BH1,0.49,6.96,-2.27,2.15
20.75,74.79,-3.18,1,BH1,-0.48,2.12,-3.09,6.75
20.75,74.79,-3.68,1,BH1,0.65,1.17,-7.57,-4.0
20.75,74.79,-4.18,1,BH1,-1.0,7.08,-2.97,5.47
20.75,74.79,-4.69,1,BH1,3.94,0.18,4.55,11.22
20.75,74.79,-5.19,1,BH1,-3.73,-5.26,-3.67,-1.64
20.75,74.79,-5.69,1,BH1,5.98,-0.54,-1.54,-5.34
20.75,74.79,-6.19,1,BH1,8.69,5.4,-10.87,2.92
20.75,74.79,-6.69,1,BH1,3.4,-4.38,-1.04,8.67
20.75,74.79,-7.19,1,BH1,3.22,-1.04,-12.19,-5.84
20.75,74.79,-7.69,1,BH1,-0.43,7.51,-1.77,-1.38
20.75,74.79,-8.19,1,BH1,-0.83,10.0,-8.17,8.22
20.75,74.79,-8.69,1,BH1,-4.21,7.27,2.72,-5.5
20.75,74.79,-9.19,1,BH1,-7.8,-2.34,-2.95,3.23
20.75,74.79,-9.69,1,BH1,6.47,3.64,-2.34,-1.62
20.75,74.79,-10.19,1,BH1,0.77,5.55,-1.66,-6.23
20.75,74.79,-10.69,1,BH1,2.15,6.32,-3.1,0.48
20.75,74.79,-11.19,1,BH1,0.59,1.57,-3.7,0.56
20.75,74.79,-11.7,1,BH1,2.5,4.07,-2.05,-2.67
20.75,74.79,-12.2,1,BH1,3.13,0.45,5.26,5.89
20.75,74.79,-12.7,1,BH1,10.94,0.68,-6.67,-0.09
20.75,74.79,-13.2,1,BH1,0.4,-3.54,-10.05,-0.45
20.75,74.79,-13.7,1,BH1,11.36,3.55,5.27,2.78
20.75,74.79,-14.2,1,BH1,5.04,11.8,-4.86,-4.39
20.75,74.79,-14.7,1,BH1,-3.31,7.24,-3.2,-8.75
20.75,74.79,-15.2,1,BH1,1.62,5.28,-13.42,-5.29
20.75,74.79,-15.7,1,BH1,-0.17,6.47,-1.87,1.44
20.75,74.79,-16.2,1,BH1,2.37,2.27,-2.11,4.43
20.75,74.79,-16.7,1,BH1,-3.92,1.5,1.92,3.83
20.75,74.79,-17.2,1,BH1,3.99,3.4,-7.83,-0.88
20.75,74.79,-17.7,1,BH1,8.23,8.42,-7.08,0.25
20.75,74.79,-18.2,2,BH1,7.79,10.67,-4.52,-8.6
20.75,74.79,-18.71,2,BH1,6.87,3.5,1.01,-1.35
20.75,74.79,-19.21,2,BH1,13.83,1.16,-4.26,-1.3
20.75,74.79,-19.71,2,BH1,1.35,5.19,-7.84,-5.58
20.75,74.79,-20.21,2,BH1,10.12,14.82,-4.49,-5.31
20.75,74.79,-20.71,2,BH1,11.79,7.46,-8.06,-0.41
20.75,74.79,-21.21,2,BH1,6.28,11.24,0.48,-10.06
20.75,74.79,-21.71,2,BH1,4.69,10.67,-4.99,-20.01
20.75,74.79,-22.21,2,BH1,5.91,6.05,-3.15,-7.47
20.75,74.79,-22.71,2,BH1,12.74,14.73,-6.04,-17.32
20.75,74.79,-23.21,2,BH1,16.02,8.18,-15.17,4.28
20.75,74.79,-23.71,2,BH1,11.54,0.82,-2.56,-1.41
20.75,74.79,-24.21,2,BH1,15.73,5.07,-6.63,-11.02
20.75,74.79,-24.71,2,BH1,-1.46,8.77,-9.59,-2.45
20.75,74.79,-25.21,2,BH1,10.19,13.0,-5.94,-3.42
20.75,74.79,-25.72,2,BH1,10.48,7.48,-2.0,-7.65
20.75,74.79,-26.22,2,BH1,3.1,1.38,-7.72,-1.17
20.75,74.79,-26.72,2,BH1,6.29,6.58,-6.81,-3.15
20.75,74.79,-27.22,2,BH1,0.71,15.94,-20.78,-6.31
20.75,74.79,-27.72,2,BH1,18.56,3.16,-5.75,-8.91
20.75,74.79,-28.22,2,BH1,8.54,-2.12,-13.81,-6.8
20.75,74.79,-28.72,2,BH1,5.95,1.1,-6.62,-4.81
20.75,74.79,-29.22,2,BH1,6.67,-0.25,0.36,-15.06
20.75,74.79,-29.72,2,BH1,10.09,1.39,-12.76,-2.7
20.75,74.79,-30.22,2,BH1,9.53,7.76,-5.99,-0.44
20.75,74.79,-30.72,2,BH1,6.21,13.85,-7.5,-5.02
20.75,74.79,-31.22,2,BH1,-4.17,-2.53,-9.16,-8.74
20.75,74.79,-31.72,2,BH1,7.3,6.43,-6.54,-0.63
20.75,74.79,-32.22,2,BH1,7.3,7.4,-3.56,-8.17
20.75,74.79,-32.73,2,BH1,3.84,11.13,-3.74,-7.45
20.75,74.79,-33.23,2,BH1,8.67,16.89,1.66,-2.15
20.75,74.79,-33.73,2,BH1,4.37,8.31,-8.26,-6.67
20.75,74.79,-34.23,2,BH1,8.13,12.25,-3.35,-10.31
20.75,74.79,-34.73,2,BH1,12.79,-2.2,-3.37,-2.03
20.75,74.79,-35.23,2,BH1,9.48,2.37,-6.5,0.91
20.75,74.79,-35.73,2,BH1,11.31,5.29,-4.19,-9.17
20.75,74.79,-36.23,2,BH1,7.69,9.81,0.2,-5.64
20.75,74.79,-36.73,2,BH1,3.52,5.27,-10.93,1.29
20.75,74.79,-37.23,2,BH1,14.9,10.26,-7.97,-3.08
20.75,74.79,-37.73,2,BH1,7.62,10.0,-5.5,-5.61
20.75,74.79,-38.23,2,BH1,5.1,7.62,-14.08,-5.68
20.75,74.79,-38.73,2,BH1,1.99,0.17,-10.29,-6.47
20.75,74.79,-39.23,2,BH1,10.02,4.57,-13.38,-3.89
20.75,74.79,-39.74,2,BH1,13.83,9.52,-8.42,-4.05
20.75,74.79,-40.24,2,BH1,8.33,9.46,-6.91,-11.38
20.75,74.79,-40.74,2,BH1,11.55,13.19,-5.79,-2.53
20.75,74.79,-41.24,2,BH1,10.88,5.22,0.82,-6.02
20.75,74.79,-41.74,2,BH1,4.04,5.77,0.74,-12.16
20.75,74.79,-42.24,2,BH1,6.96,10.48,-7.8,-10.8
20.75,74.79,-42.74,2,BH1,4.53,11.78,-7.57,-4.52
20.75,74.79,-43.24,2,BH1,2.95,2.79,-4.66,-7.02
20.75,74.79,-43.74,2,BH1,3.21,1.76,-9.79,-8.12
20.75,74.79,-44.24,2,BH1,7.24,7.57,-3.98,-8.62
20.75,74.79,-44.74,2,BH1,8.89,12.11,-11.81,0.15
20.75,74.79,-45.24,2,BH1,9.45,3.69,-10.26,-7.84
20.75,74.79,-45.74,2,BH1,17.21,8.85,-6.08,-1.15
20.75,74.79,-46.24,2,BH1,11.67,11.51,-4.31,-2.67
20.75,74.79,-46.75,2,BH1,10.46,15.16,-4.85,-6.82
20.75,74.79,-47.25,2,BH1,-0.64,10.08,-13.36,-14.06
20.75,74.79,-47.75,2,BH1,6.17,-2.2,-2.72,-2.01
20.75,74.79,-48.25,2,BH1,-1.56,4.77,-8.05,-6.76
20.75,74.79,-48.75,2,BH1,9.4,2.28,-7.32,-5.26
20.75,74.79,-49.25,2,BH1,6.24,6.34,-13.16,-2.36
20.75,74.79,-49.75,2,BH1,7.0,3.36,-8.52,-11.18
20.75,74.79,-50.25,2,BH1,1.09,14.87,-1.95,-8.12
20.75,74.79,-50.75,2,BH1,5.9,13.17,-9.17,-4.98
20.75,74.79,-51.25,2,BH1,10.22,0.09,-14.29,-3.63
20.75,74.79,-51.75,2,BH1,8.76,7.17,-1.15,-3.21
20.75,74.79,-52.25,2,BH1,1.94,5.55,-8.27,-12.34
20.75,74.79,-52.75,2,BH1,13.58,-0.61,-10.36,-10.98
20.75,74.79,-53.25,2,BH1,8.68,11.71,-4.5,-11.04
20.75,74.79,-53.76,2,BH1,10.18,9.3,-2.39,2.08
20.75,74.79,-54.26,2,BH1,7.86,3.77,-10.88,-8.93
20.75,74.79,-54.76,2,BH1,9.92,3.16,-5.08,1.91
20.75,74.79,-55.26,2,BH1,17.81,8.45,-2.35,-2.37
20.75,74.79,-55.76,2,BH1,10.56,15.89,-4.4,3.73
20.75,74.79,-56.26,2,BH1,12.09,16.67,-9.46,2.0
20.75,74.79,-56.76,2,BH1,4.52,7.22,-11.1,-12.8
20.75,74.79,-57.26,2,BH1,7.68,3.91,-10.68,-2.65
20.75,74.79,-57.76,3,BH1,-8.95,2.81,-6.22,0.01
