X,Y,Z,layer,Well Name,feature1,feature2,feature3,feature4
104.75,3.18,-0.18,1,BH1,0.04,10.05,1.95,-5.12
104.75,3.18,-0.68,1,BH1,-6.89,13.66,9.85,-11.25
104.75,3.18,-1.18,1,BH1,5.42,10.72,0.49,-0.82
104.75,3.18,-1.68,1,BH1,2.57,1.49,5.31,-3.19
104.75,3.18,-2.18,1,BH1,-1.56,8.63,8.14,0.12
104.75,3.18,-2.68,1,BH1,-2.2,10.74,3.18,-2.14
104.75,3.18,-3.18,1,BH1,0.26,6.29,9.11,-0.17
104.75,3.18,-3.68,1,BH1,-7.06,10.76,1.53,-6.78
104.75,3.18,-4.18,1,BH1,-2.12,13.51,3.73,-1.47
104.75,3.18,-4.69,1,BH1,4.43,15.69,6.39,2.93
104.75,3.18,-5.19,1,BH1,3.67,2.36,3.35,-6.1
104.75,3.18,-5.69,1,BH1,-4.36,10.02,8.57,2.09
104.75,3.18,-6.19,1,BH1,0.25,9.85,2.6,-6.33
104.75,3.18,-6.69,1,BH1,-7.1,10.62,-1.48,-4.32
104.75,3.18,-7.19,1,BH1,-2.53,12.92,9.76,-6.7
104.75,3.18,-7.69,1,BH1,-4.26,1.13,0.27,-4.93
104.75,3.18,-8.19,1,BH1,-2.38,1.43,4.53,-6.37
104.75,3.18,-8.69,1,BH1,4.36,4.15,-0.3,-10.78
104.75,3.18,-9.19,1,BH1,3.16,7.87,3.38,0.63
104.75,3.18,-9.69,1,BH1,0.7,4.33,-1.87,0.92
104.75,3.18,-10.19,1,BH1,8.59,11.38,6.6,-4.81
104.75,3.18,-10.69,1,BH1,-0.09,14.05,4.19,-9.47
104.75,3.18,-11.19,1,BH1,1.01,12.66,12.61,-2.64
104.75,3.18,-11.7,1,BH1,-6.81,11.15,-0.19,-9.68
104.75,3.18,-12.2,1,BH1,-6.71,11.21,7.5,-6.81
104.75,3.18,-12.7,1,BH1,2.02,12.07,5.07,-3.99
104.75,3.18,-13.2,1,BH1,-1.68,14.72,7.74,-9.2
104.75,3.18,-13.7,1,BH1,4.6,7.7,10.09,-4.57
104.75,3.18,-14.2,1,BH1,-0.85,4.8,3.29,-1.99
104.75,3.18,-14.7,1,BH1,-4.59,11.63,6.92,-10.53
104.75,3.18,-15.2,1,BH1,-0.37,10.26,6.62,-6.34
104.75,3.18,-15.7,1,BH1,-6.11,11.22,2.91,-5.54
104.75,3.18,-16.2,1,BH1,4.1,3.56,4.35,-8.87
104.75,3.18,-16.7,1,BH1,-0.16,10.41,4.46,-10.21
104.75,3.18,-17.2,1,BH1,4.51,8.56,3.63,-6.56
104.75,3.18,-17.7,1,BH1,-1.46,8.67,-0.44,-8.71
104.75,3.18,-18.2,1,BH1,-0.33,10.31,-2.44,-6.0
104.75,3.18,-18.71,1,BH1,5.52,8.36,3.05,-5.11
104.75,3.18,-19.21,1,BH1,0.17,12.16,2.83,-1.82
104.75,3.18,-19.71,1,BH1,1.64,4.53,7.11,2.12
104.75,3.18,-20.21,1,BH1,3.75,12.44,5.32,-8.48
104.75,3.18,-20.71,1,BH1,13.56,9.73,4.14,-4.03
104.75,3.18,-21.21,1,BH1,6.35,13.12,4.52,0.96
104.75,3.18,-21.71,1,BH1,-9.68,13.45,8.04,-7.14
104.75,3.18,-22.21,1,BH1,-8.76,1.36,2.31,-4.27
104.75,3.18,-22.71,1,BH1,1.35,4.85,7.32,-7.65
104.75,3.18,-23.21,1,BH1,2.54,7.72,7.71,-5.38
104.75,3.18,-23.71,1,BH1,-7.49,11.28,0.65,-7.28
104.75,3.18,-24.21,1,BH1,3.29,7.6,11.4,0.88
104.75,3.18,-24.71,1,BH1,-2.58,11.46,-0.18,-3.59
104.75,3.18,-25.21,1,BH1,-5.93,5.15,-0.49,-12.63
104.75,3.18,-25.72,1,BH1,-3.32,11.78,4.95,-0.45
104.75,3.18,-26.22,1,BH1,4.61,6.52,-0.03,-2.37
104.75,3.18,-26.72,1,BH1,5.28,9.82,5.23,-1.63
104.75,3.18,-27.22,1,BH1,-0.06,5.68,14.49,-2.74
104.75,3.18,-27.72,1,BH1,-3.34,0.25,5.15,8.54
104.75,3.18,-28.22,1,BH1,0.95,12.5,2.17,-7.12
104.75,3.18,-28.72,1,BH1,8.96,2.9,5.4,-5.2
104.75,3.18,-29.22,1,BH1,-5.58,11.0,2.93,-3.78
104.75,3.18,-29.72,1,BH1,-1.77,11.09,10.63,1.54
104.75,3.18,-30.22,1,BH1,-1.43,9.28,3.5,-12.12
104.75,3.18,-30.72,1,BH1,-2.95,2.55,6.22,-3.42
104.75,3.18,-31.22,1,BH1,-2.2,10.09,7.64,-2.76
104.75,3.18,-31.72,2,BH1,-3.92,3.07,-7.88,-1.16
104.75,3.18,-32.22,2,BH1,-4.17,-1.88,-9.71,-4.61
104.75,3.18,-32.73,2,BH1,-2.92,14.82,-12.74,-5.95
104.75,3.18,-33.23,2,BH1,0.88,1.6,-13.78,-12.39
104.75,3.18,-33.73,2,BH1,-7.31,11.24,-1.18,-1.87
104.75,3.18,-34.23,2,BH1,-5.24,9.71,-10.99,3.12
104.75,3.18,-34.73,2,BH1,-6.12,3.09,-10.13,-3.65
104.75,3.18,-35.23,2,BH1,-13.39,-1.44,-5.38,9.64
104.75,3.18,-35.73,2,BH1,-2.97,0.2,1.16,0.98
104.75,3.18,-36.23,2,BH1,-2.0,-1.64,-11.48,-7.83
104.75,3.18,-36.73,2,BH1,-11.02,-0.99,-6.04,-5.29
104.75,3.18,-37.23,2,BH1,-9.88,2.44,-6.15,7.12
104.75,3.18,-37.73,2,BH1,-3.97,6.0,-6.0,-2.83
104.75,3.18,-38.23,2,BH1,-7.87,11.42,-13.21,-4.37
104.75,3.18,-38.73,2,BH1,0.58,1.72,-8.02,-1.28
104.75,3.18,-39.23,2,BH1,-4.52,8.47,-6.02,6.96
104.75,3.18,-39.74,2,BH1,-2.76,2.37,-4.08,-6.04
104.75,3.18,-40.24,2,BH1,-7.89,-6.41,-2.61,-1.46
104.75,3.18,-40.74,2,BH1,-1.8,2.66,-4.51,0.64
104.75,3.18,-41.24,2,BH1,0.08,1.66,-5.46,5.92
104.75,3.18,-41.74,2,BH1,-8.35,5.4,-10.19,-0.95
104.75,3.18,-42.24,2,BH1,-9.01,5.4,-2.95,-5.2
104.75,3.18,-42.74,2,BH1,-3.54,3.26,-4.45,-7.31
104.75,3.18,-43.24,2,BH1,-9.62,1.78,-4.92,-7.77
104.75,3.18,-43.74,2,BH1,-7.16,0.69,-9.28,2.13
104.75,3.18,-44.24,2,BH1,-11.56,2.75,-5.0,-2.12
104.75,3.18,-44.74,2,BH1,-0.26,8.67,-2.6,-0.08
104.75,3.18,-45.24,2,BH1,-0.9,1.89,-5.42,-5.04
104.75,3.18,-45.74,2,BH1,-0.21,9.58,-10.82,-4.32
104.75,3.18,-46.24,2,BH1,-8.79,4.95,-10.34,-0.19
104.75,3.18,-46.75,2,BH1,-9.53,-3.01,-4.3,-10.12
104.75,3.18,-47.25,2,BH1,-5.67,5.32,-6.6,0.8
104.75,3.18,-47.75,2,BH1,-1.37,-3.3,-7.94,-3.05
104.75,3.18,-48.25,2,BH1,-2.87,1.08,-12.75,1.76
104.75,3.18,-48.75,2,BH1,-0.29,13.01,0.11,-5.9
104.75,3.18,-49.25,2,BH1,-10.89,9.36,-11.53,-3.48
104.75,3.18,-49.75,2,BH1,-4.13,0.78,-3.55,2.98
104.75,3.18,-50.25,2,BH1,-2.93,3.18,-1.78,-3.01
104.75,3.18,-50.75,2,BH1,-10.01,7.98,-1.65,-0.5
104.75,3.18,-51.25,2,BH1,-8.26,4.18,-7.86,5.94
104.75,3.18,-51.75,2,BH1,-4.35,11.28,-8.27,-5.24
104.75,3.18,-52.25,2,BH1,-2.56,6.11,-10.2,1.04
104.75,3.18,-52.75,2,BH1,-4.31,3.56,-11.01,-0.63
104.75,3.18,-53.25,2,BH1,-7.3,7.99,-5.67,-4.52
104.75,3.18,-53.76,2,BH1,-1.53,-2.05,-11.41,-12.61
104.75,3.18,-54.26,2,BH1,-8.47,8.73,-2.69,-2.23
104.75,3.18,-54.76,2,BH1,-10.43,10.24,-0.12,-3.01
104.75,3.18,-55.26,2,BH1,1.92,8.87,-2.7,-1.67
104.75,3.18,-55.76,2,BH1,-6.75,4.97,-1.81,0.25
104.75,3.18,-56.26,2,BH1,-5.32,-1.46,-13.76,0.05
104.75,3.18,-56.76,2,BH1,-9.83,8.98,-7.33,-3.02
104.75,3.18,-57.26,2,BH1,-6.27,1.57,-6.42,-1.07
104.75,3.18,-57.76,2,BH1,-3.34,-1.85,-6.71,0.57
104.75,3.18,-58.26,2,BH1,-8.69,0.02,-7.69,5.24
104.75,3.18,-58.76,2,BH1,0.7,3.31,-4.9,-10.1
104.75,3.18,-59.26,2,BH1,-13.51,-0.68,-6.02,2.83
104.75,3.18,-59.76,2,BH1,3.32,2.22,-10.55,3.95
104.75,3.18,-60.26,2,BH1,-9.53,6.68,-5.25,-11.33
104.75,3.18,-60.77,2,BH1,-9.36,-0.72,-2.82,-10.42
104.75,3.18,-61.27,2,BH1,-8.33,3.06,-7.55,-4.69
104.75,3.18,-61.77,2,BH1,-4.34,3.93,-8.7,1.95
104.75,3.18,-62.27,2,BH1,-7.86,1.28,-8.52,-1.23
104.75,3.18,-62.77,2,BH1,-11.93,4.98,-8.38,-7.65
104.75,3.18,-63.27,2,BH1,-2.95,0.8,-5.09,-4.57
104.75,3.18,-63.77,3,BH1,3.28,-15.78,-9.5,0.85
104.75,3.18,-64.27,3,BH1,0.53,-9.05,-6.47,7.61
104.75,3.18,-64.77,3,BH1,-0.26,-4.62,-14.31,4.34
104.75,3.18,-65.27,3,BH1,4.67,-1.05,-10.87,3.58
