X,Y,Z,layer,Well Name,feature1,feature2,feature3,feature4
139.75,76.79,-0.18,1,BH1,-3.28,-3.31,3.32,14.43
139.75,76.79,-0.68,1,BH1,-13.99,12.87,8.93,1.51
139.75,76.79,-1.18,1,BH1,5.54,1.32,5.64,-3.28
139.75,76.79,-1.68,1,BH1,-5.03,21.53,2.69,-9.3
139.75,76.79,-2.18,1,BH1,-7.52,16.45,3.33,-3.69
139.75,76.79,-2.68,1,BH1,10.04,12.16,-0.65,1.55
139.75,76.79,-3.18,1,BH1,-6.39,10.69,4.52,10.89
139.75,76.79,-3.68,1,BH1,-3.47,1.85,-7.41,3.5
139.75,76.79,-4.18,1,BH1,1.39,20.51,3.82,4.99
139.75,76.79,-4.69,1,BH1,-13.95,18.48,0.5,21.16
139.75,76.79,-5.19,1,BH1,-7.29,5.03,-0.03,-2.19
139.75,76.79,-5.69,1,BH1,-1.24,12.33,-3.54,12.56
139.75,76.79,-6.19,1,BH1,-10.04,3.26,4.38,3.73
139.75,76.79,-6.69,1,BH1,12.91,0.53,8.19,-4.97
139.75,76.79,-7.19,1,BH1,14.85,-4.99,9.79,-10.12
139.75,76.79,-7.69,1,BH1,-1.24,-1.59,3.81,-4.81
139.75,76.79,-8.19,1,BH1,6.5,5.95,-10.65,-5.59
139.75,76.79,-8.69,1,BH1,-8.81,4.52,-11.29,-1.97
139.75,76.79,-9.19,1,BH1,-0.09,7.12,2.45,-9.75
139.75,76.79,-9.69,1,BH1,12.95,18.08,12.32,6.42
139.75,76.79,-10.19,1,BH1,4.44,23.33,-5.85,6.2
139.75,76.79,-10.69,1,BH1,-3.29,7.75,5.17,10.69
139.75,76.79,-11.19,1,BH1,2.82,12.35,1.93,10.67
139.75,76.79,-11.7,1,BH1,10.04,19.07,-5.11,8.2
139.75,76.79,-12.2,1,BH1,4.4,12.63,7.79,6.52
139.75,76.79,-12.7,1,BH1,-7.29,17.93,15.29,-2.31
139.75,76.79,-13.2,1,BH1,-9.83,16.92,-2.48,21.72
139.75,76.79,-13.7,1,BH1,11.75,8.56,-0.67,-9.38
139.75,76.79,-14.2,1,BH1,4.72,25.59,0.46,-8.3
139.75,76.79,-14.7,1,BH1,-4.91,10.15,-1.62,17.64
139.75,76.79,-15.2,1,BH1,-4.82,14.86,14.47,12.44
139.75,76.79,-15.7,1,BH1,-15.85,20.23,9.55,1.56
139.75,76.79,-16.2,1,BH1,6.21,9.09,-2.72,5.44
139.75,76.79,-16.7,1,BH1,-14.23,5.05,10.6,-7.43
139.75,76.79,-17.2,1,BH1,-12.29,14.04,7.39,-5.08
139.75,76.79,-17.7,1,BH1,1.69,17.12,10.89,5.42
139.75,76.79,-18.2,1,BH1,-2.2,1.5,10.2,-1.88
139.75,76.79,-18.71,1,BH1,-2.61,1.08,10.81,-7.18
139.75,76.79,-19.21,1,BH1,-2.71,11.12,-1.43,5.15
139.75,76.79,-19.71,1,BH1,-9.74,1.84,7.22,1.61
139.75,76.79,-20.21,1,BH1,1.25,1.68,5.38,7.61
139.75,76.79,-20.71,1,BH1,-2.55,15.3,5.25,1.23
139.75,76.79,-21.21,1,BH1,-5.88,13.69,-3.37,0.91
139.75,76.79,-21.71,1,BH1,-12.41,22.75,13.49,-1.55
139.75,76.79,-22.21,1,BH1,0.77,12.05,13.91,-6.06
139.75,76.79,-22.71,1,BH1,12.23,9.28,-0.61,3.58
139.75,76.79,-23.21,1,BH1,8.16,15.96,11.88,11.24
139.75,76.79,-23.71,1,BH1,-13.89,6.34,11.32,6.29
139.75,76.79,-24.21,1,BH1,-1.73,8.54,-1.01,-0.13
139.75,76.79,-24.71,1,BH1,6.41,-0.19,9.12,7.23
139.75,76.79,-25.21,1,BH1,1.5,15.67,2.23,15.44
139.75,76.79,-25.72,1,BH1,-3.79,5.62,9.86,9.14
139.75,76.79,-26.22,1,BH1,-3.9,8.04,4.97,0.87
139.75,76.79,-26.72,1,BH1,-11.68,14.36,2.84,-0.84
139.75,76.79,-27.22,1,BH1,0.79,14.86,8.07,14.53
139.75,76.79,-27.72,1,BH1,-2.17,4.13,20.72,6.73
139.75,76.79,-28.22,1,BH1,-3.5,1.71,12.94,1.07
139.75,76.79,-28.72,1,BH1,6.62,20.42,12.13,-1.26
139.75,76.79,-29.22,1,BH1,-1.09,16.52,-15.63,7.06
139.75,76.79,-29.72,1,BH1,-5.78,8.52,20.39,0.12
139.75,76.79,-30.22,1,BH1,-2.65,6.85,7.06,-4.23
139.75,76.79,-30.72,1,BH1,1.19,10.4,-1.8,7.23
139.75,76.79,-31.22,1,BH1,11.34,0.99,-6.8,-3.22
139.75,76.79,-31.72,1,BH1,-10.62,13.63,9.09,-0.35
139.75,76.79,-32.22,1,BH1,4.03,10.39,21.06,-4.09
139.75,76.79,-32.73,2,BH1,-11.92,-5.21,-21.9,3.23
139.75,76.79,-33.23,2,BH1,-12.27,-1.29,-10.3,6.84
139.75,76.79,-33.73,2,BH1,-19.0,-8.6,-10.7,12.02
139.75,76.79,-34.23,2,BH1,-15.07,-0.2,-7.55,11.47
139.75,76.79,-34.73,2,BH1,5.6,-4.59,-4.43,17.93
139.75,76.79,-35.23,2,BH1,0.89,-17.55,-16.11,4.34
139.75,76.79,-35.73,2,BH1,-1.2,-2.29,-16.46,5.49
139.75,76.79,-36.23,2,BH1,-2.49,-12.41,-19.45,8.96
139.75,76.79,-36.73,2,BH1,-8.65,-1.3,-5.68,9.32
139.75,76.79,-37.23,2,BH1,5.62,4.54,-3.32,20.69
139.75,76.79,-37.73,2,BH1,-8.34,-12.55,-0.97,19.74
139.75,76.79,-38.23,2,BH1,-7.66,-16.17,6.88,19.28
139.75,76.79,-38.73,2,BH1,-3.09,4.29,8.2,4.29
