X,Y,Z,layer
746490.0,6929330.0,-2.0,5
746490.0,6929330.0,-406.0,5
746490.0,6929330.0,-810.0,5
746490.0,6929330.0,-1214.0,5
746490.0,6929330.0,-1618.0,5
746490.0,6929330.0,-2022.0,5
746490.0,6929330.0,-2426.0,5
746490.0,6929330.0,-2830.0,5
746490.0,6929330.0,-3234.0,5
746490.0,6929330.0,-3638.0,5
746490.0,6929330.0,-4042.0,5
746490.0,6929330.0,-4446.0,5
746490.0,6929330.0,-4850.0,5
746490.0,6929330.0,-5254.0,5
746490.0,6929330.0,-5658.0,5
746490.0,6929330.0,-6062.0,5
746490.0,6929330.0,-6466.0,5
746490.0,6929330.0,-6870.0,5
746490.0,6929330.0,-7274.0,5
746490.0,6929330.0,-7678.0,5
746490.0,6929330.0,-8082.0,5
746490.0,6929330.0,-8486.0,5
746490.0,6929330.0,-8890.0,5
746490.0,6929330.0,-9294.0,5
746490.0,6929330.0,-9698.0,5
746490.0,6929330.0,-10102.0,5
746490.0,6929330.0,-10506.0,5
746490.0,6929330.0,-10910.0,5
746490.0,6929330.0,-11314.0,5
746490.0,6929330.0,-11718.0,5
746490.0,6929330.0,-12122.0,5
746490.0,6929330.0,-12526.0,5
746490.0,6929330.0,-12930.0,5
746490.0,6929330.0,-13334.0,5
746490.0,6929330.0,-13738.0,5
746490.0,6929330.0,-14142.0,5
746490.0,6929330.0,-14546.0,5
746490.0,6929330.0,-14950.0,5
746490.0,6929330.0,-15354.0,5
746490.0,6929330.0,-15758.0,5
746490.0,6929330.0,-16162.0,5
746490.0,6929330.0,-16566.0,5
746490.0,6929330.0,-16970.0,5
746490.0,6929330.0,-17374.0,5
746490.0,6929330.0,-17778.0,5
746490.0,6929330.0,-18182.0,5
746490.0,6929330.0,-18586.0,5
746490.0,6929330.0,-18990.0,5
746490.0,6929330.0,-19394.0,5
746490.0,6929330.0,-19798.0,5
746490.0,6927990.0,-2.0,5
746490.0,6927990.0,-406.0,5
746490.0,6927990.0,-810.0,5
746490.0,6927990.0,-1214.0,5
746490.0,6927990.0,-1618.0,5
746490.0,6927990.0,-2022.0,5
746490.0,6927990.0,-2426.0,5
746490.0,6927990.0,-2830.0,5
746490.0,6927990.0,-3234.0,5
746490.0,6927990.0,-3638.0,5
746490.0,6927990.0,-4042.0,5
746490.0,6927990.0,-4446.0,5
746490.0,6927990.0,-4850.0,5
746490.0,6927990.0,-5254.0,5
746490.0,6927990.0,-5658.0,5
746490.0,6927990.0,-6062.0,5
746490.0,6927990.0,-6466.0,5
746490.0,6927990.0,-6870.0,5
746490.0,6927990.0,-7274.0,5
746490.0,6927990.0,-7678.0,5
746490.0,6927990.0,-8082.0,5
746490.0,6927990.0,-8486.0,5
746490.0,6927990.0,-8890.0,5
746490.0,6927990.0,-9294.0,5
746490.0,6927990.0,-9698.0,5
746490.0,6927990.0,-10102.0,5
746490.0,6927990.0,-10506.0,5
746490.0,6927990.0,-10910.0,5
746490.0,6927990.0,-11314.0,5
746490.0,6927990.0,-11718.0,5
746490.0,6927990.0,-12122.0,5
746490.0,6927990.0,-12526.0,5
746490.0,6927990.0,-12930.0,5
746490.0,6927990.0,-13334.0,5
746490.0,6927990.0,-13738.0,5
746490.0,6927990.0,-14142.0,5
746490.0,6927990.0,-14546.0,5
746490.0,6927990.0,-14950.0,5
746490.0,6927990.0,-15354.0,5
746490.0,6927990.0,-15758.0,5
746490.0,6927990.0,-16162.0,5
746490.0,6927990.0,-16566.0,5
746490.0,6927990.0,-16970.0,5
746490.0,6927990.0,-17374.0,5
746490.0,6927990.0,-17778.0,5
746490.0,6927990.0,-18182.0,5
746490.0,6927990.0,-18586.0,5
746490.0,6927990.0,-18990.0,5
746490.0,6927990.0,-19394.0,5
746490.0,6927990.0,-19798.0,5
746490.0,6926650.0,-2.0,5
746490.0,6926650.0,-406.0,5
746490.0,6926650.0,-810.0,5
746490.0,6926650.0,-1214.0,5
746490.0,6926650.0,-1618.0,5
746490.0,6926650.0,-2022.0,5
746490.0,6926650.0,-2426.0,5
746490.0,6926650.0,-2830.0,5
746490.0,6926650.0,-3234.0,5
746490.0,6926650.0,-3638.0,5
746490.0,6926650.0,-4042.0,5
746490.0,6926650.0,-4446.0,5
746490.0,6926650.0,-4850.0,5
746490.0,6926650.0,-5254.0,5
746490.0,6926650.0,-5658.0,5
746490.0,6926650.0,-6062.0,5
746490.0,6926650.0,-6466.0,5
746490.0,6926650.0,-6870.0,5
746490.0,6926650.0,-7274.0,5
