X,Y,Z,gp_res,layer
158.8,158.8,-2.1,50,3
158.8,158.8,-6.3,50,3
158.8,158.8,-10.5,50,3
158.8,158.8,-14.7,50,3
158.8,158.8,-18.9,50,3
158.8,158.8,-23.1,50,3
158.8,158.8,-27.3,50,3
158.8,158.8,-31.5,50,3
158.8,158.8,-35.7,50,3
158.8,158.8,-39.9,50,3
158.8,158.8,-44.1,50,3
158.8,158.8,-48.3,50,3
158.8,158.8,-52.5,50,0
158.8,158.8,-56.7,50,0
158.8,158.8,-60.9,50,0
158.8,158.8,-65.1,50,0
158.8,158.8,-69.3,50,0
158.8,158.8,-73.5,50,0
158.8,158.8,-77.7,50,0
158.8,158.8,-81.9,50,0
158.8,158.8,-86.1,50,0
158.8,158.8,-90.3,50,0
158.8,158.8,-94.5,50,0
158.8,158.8,-98.7,50,0
158.8,158.8,-102.9,50,2
158.8,158.8,-107.1,50,2
158.8,158.8,-111.3,50,2
158.8,158.8,-115.5,50,2
158.8,158.8,-119.7,50,2
158.8,158.8,-123.9,50,2
158.8,158.8,-128.1,50,2
158.8,158.8,-132.3,50,2
158.8,158.8,-136.5,50,2
158.8,158.8,-140.7,50,2
158.8,158.8,-144.9,50,2
158.8,158.8,-149.1,50,2
158.8,158.8,-153.3,50,1
158.8,158.8,-157.5,50,1
158.8,158.8,-161.7,50,1
158.8,158.8,-165.9,50,1
158.8,158.8,-170.1,50,1
158.8,158.8,-174.3,50,1
158.8,158.8,-178.5,50,1
158.8,158.8,-182.7,50,1
158.8,158.8,-186.9,50,1
158.8,158.8,-191.1,50,1
158.8,158.8,-195.3,50,1
158.8,158.8,-199.5,50,-5
158.8,158.8,-203.7,50,-5
158.8,158.8,-207.9,50,-5
158.8,156.4,-2.1,50,3
158.8,156.4,-6.3,50,3
158.8,156.4,-10.5,50,3
158.8,156.4,-14.7,50,3
158.8,156.4,-18.9,50,3
158.8,156.4,-23.1,50,3
158.8,156.4,-27.3,50,3
158.8,156.4,-31.5,50,3
158.8,156.4,-35.7,50,3
158.8,156.4,-39.9,50,3
158.8,156.4,-44.1,50,3
158.8,156.4,-48.3,50,3
158.8,156.4,-52.5,50,0
158.8,156.4,-56.7,50,0
158.8,156.4,-60.9,50,0
158.8,156.4,-65.1,50,0
158.8,156.4,-69.3,50,0
158.8,156.4,-73.5,50,0
158.8,156.4,-77.7,50,0
158.8,156.4,-81.9,50,0
158.8,156.4,-86.1,50,0
158.8,156.4,-90.3,50,0
158.8,156.4,-94.5,50,0
158.8,156.4,-98.7,50,0
158.8,156.4,-102.9,50,2
158.8,156.4,-107.1,50,2
158.8,156.4,-111.3,50,2
158.8,156.4,-115.5,50,2
158.8,156.4,-119.7,50,2
158.8,156.4,-123.9,50,2
158.8,156.4,-128.1,50,2
158.8,156.4,-132.3,50,2
158.8,156.4,-136.5,50,2
158.8,156.4,-140.7,50,2
158.8,156.4,-144.9,50,2
158.8,156.4,-149.1,50,2
158.8,156.4,-153.3,50,1
158.8,156.4,-157.5,50,1
158.8,156.4,-161.7,50,1
158.8,156.4,-165.9,50,1
158.8,156.4,-170.1,50,1
158.8,156.4,-174.3,50,1
158.8,156.4,-178.5,50,1
158.8,156.4,-182.7,50,1
158.8,156.4,-186.9,50,1
158.8,156.4,-191.1,50,1
158.8,156.4,-195.3,50,1
158.8,156.4,-199.5,50,-5
158.8,156.4,-203.7,50,-5
158.8,156.4,-207.9,50,-5
158.8,154.0,-2.1,50,3
158.8,154.0,-6.3,50,3
158.8,154.0,-10.5,50,3
158.8,154.0,-14.7,50,3
158.8,154.0,-18.9,50,3
158.8,154.0,-23.1,50,3
158.8,154.0,-27.3,50,3
158.8,154.0,-31.5,50,3
158.8,154.0,-35.7,50,3
158.8,154.0,-39.9,50,3
158.8,154.0,-44.1,50,3
158.8,154.0,-48.3,50,3
158.8,154.0,-52.5,50,0
158.8,154.0,-56.7,50,0
158.8,154.0,-60.9,50,0
158.8,154.0,-65.1,50,0
158.8,154.0,-69.3,50,0
158.8,154.0,-73.5,50,0
158.8,154.0,-77.7,50,0
158.8,154.0,-81.9,50,0
158.8,154.0,-86.1,50,0
158.8,154.0,-90.3,50,0
158.8,154.0,-94.5,50,0
158.8,154.0,-98.7,50,0
158.8,154.0,-102.9,50,2
158.8,154.0,-107.1,50,2
158.8,154.0,-111.3,50,2
158.8,154.0,-115.5,50,2
158.8,154.0,-119.7,50,2
158.8,154.0,-123.9,50,2
158.8,154.0,-128.1,50,2
158.8,154.0,-132.3,50,2
158.8,154.0,-136.5,50,2
158.8,154.0,-140.7,50,2
158.8,154.0,-144.9,50,2
158.8,154.0,-149.1,50,2
158.8,154.0,-153.3,50,1
158.8,154.0,-157.5,50,1
158.8,154.0,-161.7,50,1
158.8,154.0,-165.9,50,1
158.8,154.0,-170.1,50,1
158.8,154.0,-174.3,50,1
158.8,154.0,-178.5,50,1
158.8,154.0,-182.7,50,1
158.8,154.0,-186.9,50,1
158.8,154.0,-191.1,50,1
158.8,154.0,-195.3,50,1
158.8,154.0,-199.5,50,-5
158.8,154.0,-203.7,50,-5
158.8,154.0,-207.9,50,-5
158.8,151.6,-2.1,50,3
158.8,151.6,-6.3,50,3
158.8,151.6,-10.5,50,3
158.8,151.6,-14.7,50,3
158.8,151.6,-18.9,50,3
158.8,151.6,-23.1,50,3
158.8,151.6,-27.3,50,3
158.8,151.6,-31.5,50,3
158.8,151.6,-35.7,50,3
158.8,151.6,-39.9,50,3
158.8,151.6,-44.1,50,3
158.8,151.6,-48.3,50,3
158.8,151.6,-52.5,50,0
158.8,151.6,-56.7,50,0
158.8,151.6,-60.9,50,0
158.8,151.6,-65.1,50,0
158.8,151.6,-69.3,50,0
158.8,151.6,-73.5,50,0
158.8,151.6,-77.7,50,0
158.8,151.6,-81.9,50,0
158.8,151.6,-86.1,50,0
158.8,151.6,-90.3,50,0
158.8,151.6,-94.5,50,0
158.8,151.6,-98.7,50,0
158.8,151.6,-102.9,50,2
158.8,151.6,-107.1,50,2
158.8,151.6,-111.3,50,2
158.8,151.6,-115.5,50,2
158.8,151.6,-119.7,50,2
158.8,151.6,-123.9,50,2
158.8,151.6,-128.1,50,2
158.8,151.6,-132.3,50,2
158.8,151.6,-136.5,50,2
158.8,151.6,-140.7,50,2
158.8,151.6,-144.9,50,2
158.8,151.6,-149.1,50,2
158.8,151.6,-153.3,50,1
158.8,151.6,-157.5,50,1
158.8,151.6,-161.7,50,1
158.8,151.6,-165.9,50,1
158.8,151.6,-170.1,50,1
158.8,151.6,-174.3,50,1
158.8,151.6,-178.5,50,1
158.8,151.6,-182.7,50,1
158.8,151.6,-186.9,50,1
158.8,151.6,-191.1,50,1
158.8,151.6,-195.3,50,1
158.8,151.6,-199.5,50,-5
158.8,151.6,-203.7,50,-5
158.8,151.6,-207.9,50,-5
158.8,149.2,-2.1,50,3
158.8,149.2,-6.3,50,3
158.8,149.2,-10.5,50,3
158.8,149.2,-14.7,50,3
158.8,149.2,-18.9,50,3
158.8,149.2,-23.1,50,3
158.8,149.2,-27.3,50,3
158.8,149.2,-31.5,50,3
158.8,149.2,-35.7,50,3
158.8,149.2,-39.9,50,3
158.8,149.2,-44.1,50,3
158.8,149.2,-48.3,50,3
158.8,149.2,-52.5,50,0
158.8,149.2,-56.7,50,0
158.8,149.2,-60.9,50,0
158.8,149.2,-65.1,50,0
158.8,149.2,-69.3,50,0
158.8,149.2,-73.5,50,0
158.8,149.2,-77.7,50,0
158.8,149.2,-81.9,50,0
158.8,149.2,-86.1,50,0
158.8,149.2,-90.3,50,0
158.8,149.2,-94.5,50,0
158.8,149.2,-98.7,50,0
158.8,149.2,-102.9,50,2
158.8,149.2,-107.1,50,2
158.8,149.2,-111.3,50,2
158.8,149.2,-115.5,50,2
158.8,149.2,-119.7,50,2
158.8,149.2,-123.9,50,2
158.8,149.2,-128.1,50,2
158.8,149.2,-132.3,50,2
158.8,149.2,-136.5,50,2
158.8,149.2,-140.7,50,2
158.8,149.2,-144.9,50,2
158.8,149.2,-149.1,50,2
158.8,149.2,-153.3,50,1
158.8,149.2,-157.5,50,1
158.8,149.2,-161.7,50,1
158.8,149.2,-165.9,50,1
158.8,149.2,-170.1,50,1
158.8,149.2,-174.3,50,1
158.8,149.2,-178.5,50,1
158.8,149.2,-182.7,50,1
158.8,149.2,-186.9,50,1
158.8,149.2,-191.1,50,1
158.8,149.2,-195.3,50,1
158.8,149.2,-199.5,50,-5
158.8,149.2,-203.7,50,-5
158.8,149.2,-207.9,50,-5
158.8,146.8,-2.1,50,3
158.8,146.8,-6.3,50,3
158.8,146.8,-10.5,50,3
158.8,146.8,-14.7,50,3
158.8,146.8,-18.9,50,3
158.8,146.8,-23.1,50,3
158.8,146.8,-27.3,50,3
158.8,146.8,-31.5,50,3
158.8,146.8,-35.7,50,3
158.8,146.8,-39.9,50,3
158.8,146.8,-44.1,50,3
158.8,146.8,-48.3,50,3
158.8,146.8,-52.5,50,0
158.8,146.8,-56.7,50,0
158.8,146.8,-60.9,50,0
158.8,146.8,-65.1,50,0
158.8,146.8,-69.3,50,0
158.8,146.8,-73.5,50,0
158.8,146.8,-77.7,50,0
158.8,146.8,-81.9,50,0
158.8,146.8,-86.1,50,0
158.8,146.8,-90.3,50,0
158.8,146.8,-94.5,50,0
158.8,146.8,-98.7,50,0
158.8,146.8,-102.9,50,2
158.8,146.8,-107.1,50,2
