X,Y,Z,Well Name,GR,NEUDEN,IND,PE
50,50,10,BH1,0,0,0,0
50,50,20,BH1,0,0,0,0
50,50,30,BH1,0,0,0,0
50,50,40,BH1,50.66,3.45,11.22,0.28
50,50,50,BH1,52.84,3.72,11.57,0.09
50,50,60,BH1,26.64,6.86,14.31,2.57
50,50,70,BH1,28.23,6.11,14.75,2.55
50,50,80,BH1,26.32,6.71,15.79,2.85
50,50,90,BH1,25.74,6.59,14.66,2.43
50,50,100,BH1,26.19,6.31,14.20,2.63
50,50,110,BH1,13.53,0.96,17.08,4.18
50,50,120,BH1,12.33,0.90,18.37,4.96
50,50,130,BH1,11.98,0.30,18.00,4.80
50,50,140,BH1,14.25,0.83,17.04,4.36
50,50,150,BH1,10.35,0.34,17.75,4.49
50,50,160,BH1,44.99,8.65,21.32,6.49
50,50,170,BH1,41.49,8.41,20.40,6.62
50,50,180,BH1,42.17,8.77,20.39,6.68
50,50,190,BH1,42.09,8.78,21.00,6.15
50,50,200,BH1,42.29,9.00,21.31,6.91
50,150,10,BH2,50.71,4.00,10.28,0.36
50,150,20,BH2,50.45,3.84,11.78,0.56
50,150,30,BH2,51.29,3.71,10.86,0.24
50,150,40,BH2,53.90,3.83,11.96,0.07
50,150,50,BH2,51.56,3.75,11.87,0.90
50,150,60,BH2,25.25,6.39,15.68,2.19
50,150,70,BH2,25.62,6.48,15.23,2.22
50,150,80,BH2,25.64,6.48,14.38,2.71
50,150,90,BH2,27.04,6.31,15.73,2.81
50,150,100,BH2,26.05,6.34,15.23,2.06
50,150,110,BH2,12.56,0.44,18.20,4.32
50,150,120,BH2,13.51,0.83,18.17,4.51
50,150,130,BH2,12.59,0.97,18.05,4.65
50,150,140,BH2,11.25,0.87,18.67,4.08
50,150,150,BH2,12.40,0.52,18.71,4.59
50,150,160,BH2,41.43,8.53,21.70,6.89
50,150,170,BH2,42.82,8.44,21.78,6.81
50,150,180,BH2,41.51,8.42,20.79,6.62
50,150,190,BH2,42.47,8.56,20.53,6.73
50,150,200,BH2,42.94,8.91,20.38,6.92
150,50,10,BH3,54.33,3.45,10.07,0.60
150,50,20,BH3,50.62,3.14,11.90,0.57
150,50,30,BH3,50.66,3.75,11.90,0.06
150,50,40,BH3,52.15,3.57,11.54,0.37
150,50,50,BH3,54.67,3.31,11.49,0.39
150,50,60,BH3,29.07,6.83,14.12,2.79
150,50,70,BH3,29.74,6.07,15.99,2.12
150,50,80,BH3,28.09,6.74,14.90,2.62
150,50,90,BH3,26.66,6.49,14.75,2.13
150,50,100,BH3,29.79,6.93,15.89,2.54
150,50,110,BH3,12.18,0.40,18.82,4.12
150,50,120,BH3,14.40,0.65,17.97,4.74
150,50,130,BH3,10.96,0.68,18.88,4.80
150,50,140,BH3,13.75,0.62,18.87,4.56
150,50,150,BH3,14.99,0.24,17.37,4.00
150,50,160,BH3,41.78,8.11,21.22,6.32
150,50,170,BH3,41.47,8.07,21.66,6.82
150,50,180,BH3,40.40,8.54,20.81,6.56
150,50,190,BH3,40.98,8.77,20.32,6.21
150,50,200,BH3,43.06,8.33,21.38,6.10
150,150,10,BH4,52.12,3.59,11.95,0.72
150,150,20,BH4,51.41,3.48,10.24,0.54
150,150,30,BH4,51.17,3.02,10.88,0.90
150,150,40,BH4,53.05,3.01,10.58,0.32
150,150,50,BH4,53.63,3.77,10.89,0.32
150,150,60,BH4,28.03,6.48,14.42,2.83
150,150,70,BH4,29.25,6.38,14.79,2.01
150,150,80,BH4,27.82,6.80,15.41,2.03
150,150,90,BH4,28.96,6.29,15.94,2.96
150,150,100,BH4,26.36,6.45,14.79,2.20
150,150,110,BH4,13.36,0.81,18.32,4.80
150,150,120,BH4,14.47,0.81,17.10,4.14
150,150,130,BH4,10.81,0.66,18.53,4.25
150,150,140,BH4,12.54,0.91,17.11,4.43
150,150,150,BH4,12.73,0.57,17.98,4.92
150,150,160,BH4,40.34,8.89,20.03,6.21
150,150,170,BH4,42.56,8.67,21.64,6.39
150,150,180,BH4,42.70,8.80,21.12,6.16
150,150,190,BH4,40.59,8.94,21.32,6.20
150,150,200,BH4,44.40,8.30,20.90,6.61
100,100,10,BH5,52.12,3.59,11.95,0.72
100,100,20,BH5,51.41,3.48,10.24,0.54
100,100,30,BH5,51.17,3.02,10.88,0.90
100,100,40,BH5,53.05,3.01,10.58,0.32
100,100,50,BH5,53.63,3.77,10.89,0.32
100,100,60,BH5,28.03,6.48,14.42,2.83
100,100,70,BH5,29.25,6.38,14.79,2.01
100,100,80,BH5,27.82,6.80,15.41,2.03
100,100,90,BH5,28.96,6.29,15.94,2.96
100,100,100,BH5,26.36,6.45,14.79,2.20
100,100,110,BH5,13.36,0.81,18.32,4.80
100,100,120,BH5,14.47,0.81,17.10,4.14
100,100,130,BH5,10.81,0.66,18.53,4.25
100,100,140,BH5,12.54,0.91,17.11,4.43
100,100,150,BH5,12.73,0.57,17.98,4.92
100,100,160,BH5,40.34,8.89,20.03,6.21
100,100,170,BH5,42.56,8.67,21.64,6.39
100,100,180,BH5,42.70,8.80,21.12,6.16
100,100,190,BH5,40.59,8.94,21.32,6.20
100,100,200,BH5,44.40,8.30,20.90,6.61
