,X,Y,Z,Well Name,GR,NEUDEN,IND,PE
0,50,50,-10,BH1,2.19,0.08,7.3,100.58
1,50,50,-20,BH1,2.32,0.61,7.26,100.76
2,50,50,-30,BH1,2.34,0.62,7.26,100.5
3,50,50,-40,BH1,2.25,0.5,7.8,100.6
4,50,50,-50,BH1,5.36,3.81,8.78,90.63
5,50,50,-60,BH1,5.71,3.41,8.53,90.53
6,50,50,-70,BH1,5.24,3.57,8.93,90.74
7,50,50,-80,BH1,5.22,3.85,8.28,90.42
8,50,50,-90,BH1,5.38,3.17,8.52,90.06
9,50,50,-100,BH1,5.49,5.48,9.51,110.57
10,50,50,-110,BH1,5.11,5.03,9.68,110.63
11,50,50,-120,BH1,5.11,5.16,9.91,110.62
12,50,50,-130,BH1,5.14,5.05,9.44,110.61
13,50,50,-140,BH1,5.05,5.87,9.13,110.66
14,50,50,-150,BH1,5.25,5.49,9.28,110.94
15,50,50,-160,BH1,5.6,5.63,9.78,110.91
16,50,50,-170,BH1,5.15,5.36,9.84,110.24
17,50,50,-180,BH1,5.68,5.77,9.32,110.53
18,50,50,-190,BH1,5.96,5.23,9.03,110.14
19,50,50,-200,BH1,5.36,5.48,9.58,110.99
20,50,150,-10,BH2,2.6,0.65,7.35,100.64
21,50,150,-20,BH2,2.96,0.14,7.61,100.32
22,50,150,-30,BH2,2.63,0.0,7.29,100.39
23,50,150,-40,BH2,2.6,0.22,7.64,100.88
24,50,150,-50,BH2,5.64,3.75,8.64,90.67
25,50,150,-60,BH2,5.67,3.99,8.7,90.05
26,50,150,-70,BH2,5.08,3.57,8.76,90.71
27,50,150,-80,BH2,5.01,3.64,8.87,90.79
28,50,150,-90,BH2,5.7,3.88,8.39,90.84
29,50,150,-100,BH2,5.86,5.86,9.69,110.86
30,50,150,-110,BH2,5.6,5.5,9.17,110.91
31,50,150,-120,BH2,5.1,5.17,9.26,110.76
32,50,150,-130,BH2,5.46,5.82,9.31,110.93
33,50,150,-140,BH2,5.19,5.89,9.4,110.68
34,50,150,-150,BH2,5.08,5.9,9.59,110.62
35,50,150,-160,BH2,5.43,5.66,9.61,110.31
36,50,150,-170,BH2,5.52,5.67,9.84,110.02
37,50,150,-180,BH2,5.33,5.15,9.46,110.81
38,50,150,-190,BH2,5.65,5.98,9.01,110.81
39,50,150,-200,BH2,5.84,5.56,9.96,110.84
40,150,50,-10,BH3,2.41,0.47,7.78,100.93
41,150,50,-20,BH3,2.85,0.82,7.15,100.28
42,150,50,-30,BH3,2.46,0.26,7.33,100.8
43,150,50,-40,BH3,2.7,0.54,7.16,100.47
44,150,50,-50,BH3,2.67,0.84,7.52,100.51
45,150,50,-60,BH3,2.88,0.01,7.56,100.84
46,150,50,-70,BH3,2.15,0.51,7.86,100.51
47,150,50,-80,BH3,2.45,0.18,7.93,100.57
48,150,50,-90,BH3,2.16,0.83,7.28,100.68
49,150,50,-100,BH3,2.58,0.59,7.91,100.05
50,150,50,-110,BH3,5.49,3.11,8.67,90.68
51,150,50,-120,BH3,5.44,3.3,8.23,90.72
52,150,50,-130,BH3,5.46,3.6,8.17,90.1
53,150,50,-140,BH3,5.68,3.57,8.39,90.27
54,150,50,-150,BH3,5.81,3.13,8.14,90.87
55,150,50,-160,BH3,5.11,5.64,9.2,110.07
56,150,50,-170,BH3,5.34,5.93,9.25,110.52
57,150,50,-180,BH3,5.19,5.32,9.09,110.95
58,150,50,-190,BH3,5.11,5.97,9.85,110.7
59,150,50,-200,BH3,5.2,5.89,10.0,110.6
60,150,150,-10,BH4,2.1,0.34,7.21,100.54
61,150,150,-20,BH4,2.4,0.97,7.11,100.07
62,150,150,-30,BH4,2.27,0.07,7.75,100.32
63,150,150,-40,BH4,2.47,0.41,7.55,100.02
64,150,150,-50,BH4,2.21,0.56,7.45,100.28
65,150,150,-60,BH4,2.36,0.97,7.15,100.22
66,150,150,-70,BH4,2.73,0.43,7.32,100.81
67,150,150,-80,BH4,2.48,0.79,7.84,100.07
68,150,150,-90,BH4,2.59,0.38,7.47,100.5
69,150,150,-100,BH4,2.1,0.94,7.73,100.82
70,150,150,-110,BH4,5.5,3.23,8.41,90.78
71,150,150,-120,BH4,5.96,3.3,8.6,90.04
72,150,150,-130,BH4,5.88,3.35,8.74,90.97
73,150,150,-140,BH4,5.24,3.94,8.02,90.64
74,150,150,-150,BH4,5.47,3.46,8.1,90.34
75,150,150,-160,BH4,5.44,5.28,9.55,110.13
76,150,150,-170,BH4,5.32,5.44,9.38,110.03
77,150,150,-180,BH4,5.65,5.89,9.62,110.28
78,150,150,-190,BH4,5.82,5.41,9.79,110.8
79,150,150,-200,BH4,5.51,5.02,9.28,110.27
80,100,100,-10,BH5,2.44,0.82,7.15,100.98
81,100,100,-20,BH5,2.47,0.94,7.21,100.41
82,100,100,-30,BH5,2.45,0.22,7.76,100.4
83,100,100,-40,BH5,2.88,0.47,7.43,100.13
84,100,100,-50,BH5,2.44,0.83,7.84,100.88
85,100,100,-60,BH5,2.58,0.61,7.5,100.96
86,100,100,-70,BH5,2.86,0.16,7.75,100.31
87,100,100,-80,BH5,5.33,3.36,8.32,90.24
88,100,100,-90,BH5,5.16,3.54,8.57,90.16
89,100,100,-100,BH5,5.91,3.91,8.98,90.0
90,100,100,-110,BH5,5.7,3.13,8.22,90.09
91,100,100,-120,BH5,5.76,3.37,8.35,90.21
92,100,100,-130,BH5,6.0,5.22,9.94,110.46
93,100,100,-140,BH5,5.67,5.47,9.26,110.06
94,100,100,-150,BH5,5.09,5.74,9.42,110.42
95,100,100,-160,BH5,5.79,5.64,9.73,110.42
96,100,100,-170,BH5,5.44,5.42,9.92,110.04
97,100,100,-180,BH5,5.85,5.63,9.36,110.27
98,100,100,-190,BH5,5.65,5.76,9.1,110.37
99,100,100,-200,BH5,5.71,5.13,9.51,110.06
