X,Y,Z,Well Name,GR,NEUDEN,IND,PE
50,50,10,BH1,1,1,1,1
50,50,20,BH1,2,2,2,2
50,50,30,BH1,3,3,3,3
50,50,40,BH1,4,4,4,4
50,50,50,BH1,5,5,5,5
50,50,60,BH1,6,6,6,6
50,50,70,BH1,7,7,7,7
50,50,80,BH1,8,8,8,8
50,50,90,BH1,9,9,9,9
50,50,100,BH1,10,10,10,10
50,50,110,BH1,11,11,11,11
50,50,120,BH1,12,12,12,12
50,50,130,BH1,13,13,13,13
50,50,140,BH1,14,14,14,14
50,50,150,BH1,15,15,15,15
50,50,160,BH1,16,16,16,16
50,50,170,BH1,17,17,17,17
50,50,180,BH1,18,18,18,18
50,50,190,BH1,19,19,19,19
50,50,200,BH1,20,20,20,20
50,150,10,BH2,1,1,1,1
50,150,20,BH2,2,2,2,2
50,150,30,BH2,3,3,3,3
50,150,40,BH2,4,4,4,4
50,150,50,BH2,5,5,5,5
50,150,60,BH2,6,6,6,6
50,150,70,BH2,7,7,7,7
50,150,80,BH2,8,8,8,8
50,150,90,BH2,9,9,9,9
50,150,100,BH2,10,10,10,10
50,150,110,BH2,11,11,11,11
50,150,120,BH2,12,12,12,12
50,150,130,BH2,13,13,13,13
50,150,140,BH2,14,14,14,14
50,150,150,BH2,15,15,15,15
50,150,160,BH2,16,16,16,16
50,150,170,BH2,17,17,17,17
50,150,180,BH2,18,18,18,18
50,150,190,BH2,19,19,19,19
50,150,200,BH2,20,20,20,20
150,50,10,BH3,1,1,1,1
150,50,20,BH3,2,2,2,2
150,50,30,BH3,3,3,3,3
150,50,40,BH3,4,4,4,4
150,50,50,BH3,5,5,5,5
150,50,60,BH3,6,6,6,6
150,50,70,BH3,7,7,7,7
150,50,80,BH3,8,8,8,8
150,50,90,BH3,9,9,9,9
150,50,100,BH3,10,10,10,10
150,50,110,BH3,11,11,11,11
150,50,120,BH3,12,12,12,12
150,50,130,BH3,13,13,13,13
150,50,140,BH3,14,14,14,14
150,50,150,BH3,15,15,15,15
150,50,160,BH3,16,16,16,16
150,50,170,BH3,17,17,17,17
150,50,180,BH3,18,18,18,18
150,50,190,BH3,19,19,19,19
150,50,200,BH3,20,20,20,20
150,150,10,BH4,1,1,1,1
150,150,20,BH4,2,2,2,2
150,150,30,BH4,3,3,3,3
150,150,40,BH4,4,4,4,4
150,150,50,BH4,5,5,5,5
150,150,60,BH4,6,6,6,6
150,150,70,BH4,7,7,7,7
150,150,80,BH4,8,8,8,8
150,150,90,BH4,9,9,9,9
150,150,100,BH4,10,10,10,10
150,150,110,BH4,11,11,11,11
150,150,120,BH4,12,12,12,12
150,150,130,BH4,13,13,13,13
150,150,140,BH4,14,14,14,14
150,150,150,BH4,15,15,15,15
150,150,160,BH4,16,16,16,16
150,150,170,BH4,17,17,17,17
150,150,180,BH4,18,18,18,18
150,150,190,BH4,19,19,19,19
150,150,200,BH4,20,20,20,20
100,100,10,BH5,1,1,1,1
100,100,20,BH5,2,2,2,2
100,100,30,BH5,3,3,3,3
100,100,40,BH5,4,4,4,4
100,100,50,BH5,5,5,5,5
100,100,60,BH5,6,6,6,6
100,100,70,BH5,7,7,7,7
100,100,80,BH5,8,8,8,8
100,100,90,BH5,9,9,9,9
100,100,100,BH5,10,10,10,10
100,100,110,BH5,11,11,11,11
100,100,120,BH5,12,12,12,12
100,100,130,BH5,13,13,13,13
100,100,140,BH5,14,14,14,14
100,100,150,BH5,15,15,15,15
100,100,160,BH5,16,16,16,16
100,100,170,BH5,17,17,17,17
100,100,180,BH5,18,18,18,18
100,100,190,BH5,19,19,19,19
100,100,200,BH5,20,20,20,20
