X;Y;Z;Well Name;GR;NEUDEN;IND;PE
50;50;10;BH1;A1;A2;A3;A4
50;50;20;BH1;A1;A2;A3;A4
50;50;30;BH1;A1;A2;A3;A4
50;50;40;BH1;A1;A2;A3;A4
50;50;50;BH1;B1;B2;B3;B4
50;50;60;BH1;B1;B2;B3;B4
50;50;70;BH1;B1;B2;B3;B4
50;50;80;BH1;B1;B2;B3;B4
50;50;90;BH1;B1;B2;B3;B4
50;50;100;BH1;C1;C2;C3;C4
50;50;110;BH1;C1;C2;C3;C4
50;50;120;BH1;C1;C2;C3;C4
50;50;130;BH1;C1;C2;C3;C4
50;50;140;BH1;C1;C2;C3;C4
50;50;150;BH1;C1;C2;C3;C4
50;50;160;BH1;C1;C2;C3;C4
50;50;170;BH1;C1;C2;C3;C4
50;50;180;BH1;C1;C2;C3;C4
50;50;190;BH1;C1;C2;C3;C4
50;50;200;BH1;C1;C2;C3;C4
50;150;10;BH2;A1;A2;A3;A4
50;150;20;BH2;A1;A2;A3;A4
50;150;30;BH2;A1;A2;A3;A4
50;150;40;BH2;A1;A2;A3;A4
50;150;50;BH2;B1;B2;B3;B4
50;150;60;BH2;B1;B2;B3;B4
50;150;70;BH2;B1;B2;B3;B4
50;150;80;BH2;B1;B2;B3;B4
50;150;90;BH2;B1;B2;B3;B4
50;150;100;BH2;C1;C2;C3;C4
50;150;110;BH2;C1;C2;C3;C4
50;150;120;BH2;C1;C2;C3;C4
50;150;130;BH2;C1;C2;C3;C4
50;150;140;BH2;C1;C2;C3;C4
50;150;150;BH2;C1;C2;C3;C4
50;150;160;BH2;C1;C2;C3;C4
50;150;170;BH2;C1;C2;C3;C4
50;150;180;BH2;C1;C2;C3;C4
50;150;190;BH2;C1;C2;C3;C4
50;150;200;BH2;C1;C2;C3;C4
150;50;10;BH3;A1;A2;A3;A4
150;50;20;BH3;A1;A2;A3;A4
150;50;30;BH3;A1;A2;A3;A4
150;50;40;BH3;A1;A2;A3;A4
150;50;50;BH3;A1;A2;A3;A4
150;50;60;BH3;A1;A2;A3;A4
150;50;70;BH3;A1;A2;A3;A4
150;50;80;BH3;A1;A2;A3;A4
150;50;90;BH3;A1;A2;A3;A4
150;50;100;BH3;A1;A2;A3;A4
150;50;110;BH3;B1;B2;B3;B4
150;50;120;BH3;B1;B2;B3;B4
150;50;130;BH3;B1;B2;B3;B4
150;50;140;BH3;B1;B2;B3;B4
150;50;150;BH3;B1;B2;B3;B4
150;50;160;BH3;C1;C2;C3;C4
150;50;170;BH3;C1;C2;C3;C4
150;50;180;BH3;C1;C2;C3;C4
150;50;190;BH3;C1;C2;C3;C4
150;50;200;BH3;C1;C2;C3;C4
150;150;10;BH4;A1;A2;A3;A4
150;150;20;BH4;A1;A2;A3;A4
150;150;30;BH4;A1;A2;A3;A4
150;150;40;BH4;A1;A2;A3;A4
150;150;50;BH4;A1;A2;A3;A4
150;150;60;BH4;A1;A2;A3;A4
150;150;70;BH4;A1;A2;A3;A4
150;150;80;BH4;A1;A2;A3;A4
150;150;90;BH4;A1;A2;A3;A4
150;150;100;BH4;A1;A2;A3;A4
150;150;110;BH4;B1;B2;B3;B4
150;150;120;BH4;B1;B2;B3;B4
150;150;130;BH4;B1;B2;B3;B4
150;150;140;BH4;B1;B2;B3;B4
150;150;150;BH4;B1;B2;B3;B4
150;150;160;BH4;C1;C2;C3;C4
150;150;170;BH4;C1;C2;C3;C4
150;150;180;BH4;C1;C2;C3;C4
150;150;190;BH4;C1;C2;C3;C4
150;150;200;BH4;C1;C2;C3;C4
100;100;10;BH5;A1;A2;A3;A4
100;100;20;BH5;A1;A2;A3;A4
100;100;30;BH5;A1;A2;A3;A4
100;100;40;BH5;A1;A2;A3;A4
100;100;50;BH5;A1;A2;A3;A4
100;100;60;BH5;A1;A2;A3;A4
100;100;70;BH5;A1;A2;A3;A4
100;100;80;BH5;B1;B2;B3;B4
100;100;90;BH5;B1;B2;B3;B4
100;100;100;BH5;B1;B2;B3;B4
100;100;110;BH5;B1;B2;B3;B4
100;100;120;BH5;B1;B2;B3;B4
100;100;130;BH5;C1;C2;C3;C4
100;100;140;BH5;C1;C2;C3;C4
100;100;150;BH5;C1;C2;C3;C4
100;100;160;BH5;C1;C2;C3;C4
100;100;170;BH5;C1;C2;C3;C4
100;100;180;BH5;C1;C2;C3;C4
100;100;190;BH5;C1;C2;C3;C4
100;100;200;BH5;C1;C2;C3;C4
